string_id,uniprot_id
9606.ENSP00000162749,A8K4X3
9606.ENSP00000163416,C9JRU1
9606.ENSP00000164024,O75092
9606.ENSP00000164133,Q13853
9606.ENSP00000164139,A0AVK1
9606.ENSP00000164227,P20749
9606.ENSP00000164305,Q53FF9
9606.ENSP00000165524,P81277
9606.ENSP00000166139,A8K7E3
9606.ENSP00000166244,P29322
9606.ENSP00000166345,C9K0T3
9606.ENSP00000167106,Q7L8A9
9606.ENSP00000167586,P02533
9606.ENSP00000167588,B2R6W7
9606.ENSP00000168148,A4QMV3
9606.ENSP00000168216,Q5H927
9606.ENSP00000168712,B7U994
9606.ENSP00000169298,A8KA14
9606.ENSP00000169551,Q9BVV7
9606.ENSP00000170150,Q6UWN3
9606.ENSP00000170168,Q8N1G1
9606.ENSP00000170447,A6NIA2
9606.ENSP00000170564,Q8IZV6
9606.ENSP00000171757,D3DTE5
9606.ENSP00000171887,Q4ZG71
9606.ENSP00000172229,B2R961
9606.ENSP00000173229,E9KL51
9606.ENSP00000173527,Q7Z770
9606.ENSP00000173898,B1AKE9
9606.ENSP00000174618,A8K6D1
9606.ENSP00000175091,Q15012
9606.ENSP00000175238,A8K8X7
9606.ENSP00000175756,B4E1E6
9606.ENSP00000176183,B0M0J7
9606.ENSP00000176195,P09683
9606.ENSP00000176763,A6ND35
9606.ENSP00000177694,Q9UL17
9606.ENSP00000177742,P82930
9606.ENSP00000178638,B2RE24
9606.ENSP00000178640,B4DE43
9606.ENSP00000179259,B2R840
9606.ENSP00000180166,B2RPH5
9606.ENSP00000180173,A1L4K9
9606.ENSP00000181383,A8K464
9606.ENSP00000181796,A8K1P4
9606.ENSP00000181839,Q14004
9606.ENSP00000182290,Q96KX4
9606.ENSP00000182527,A8K6T6
9606.ENSP00000184183,D3DN99
9606.ENSP00000184266,B2RUY3
9606.ENSP00000184956,B3KXP3
9606.ENSP00000185150,B2RDB4
9606.ENSP00000185206,B3KUF1
9606.ENSP00000186436,Q92545
9606.ENSP00000187762,A8K9P9
9606.ENSP00000188312,B3KW37
9606.ENSP00000188790,O00199
9606.ENSP00000190165,Q7LA03
9606.ENSP00000192314,Q17RK0
9606.ENSP00000192788,Q6BDS2
9606.ENSP00000193322,E1P5E3
9606.ENSP00000193391,A8MWT5
9606.ENSP00000194130,Q9BZW2
9606.ENSP00000194152,Q4V761
9606.ENSP00000194155,Q4KMU1
9606.ENSP00000194214,A6NG57
9606.ENSP00000194530,Q5BKY7
9606.ENSP00000196061,B4DR87
9606.ENSP00000196371,B2R5V2
9606.ENSP00000196489,Q9BWM5
9606.ENSP00000197268,A2RU67
9606.ENSP00000198536,Q8NHI1
9606.ENSP00000198767,A2RTY9
9606.ENSP00000198801,A8K7I3
9606.ENSP00000199280,P41181
9606.ENSP00000199320,O76025
9606.ENSP00000199389,A8K2R2
9606.ENSP00000199447,Q8N427
9606.ENSP00000199448,A8K4C0
9606.ENSP00000199708,P09105
9606.ENSP00000199764,P40199
9606.ENSP00000199814,A6NDM5
9606.ENSP00000199936,B2R7T4
9606.ENSP00000200135,A1A528
9606.ENSP00000200181,A0AVL6
9606.ENSP00000200453,B4DKQ3
9606.ENSP00000200457,A4D2E7
9606.ENSP00000200557,O75078
9606.ENSP00000200652,O14546
9606.ENSP00000200676,P11597
9606.ENSP00000200691,P25713
9606.ENSP00000201031,B4DWK3
9606.ENSP00000201586,O00204
9606.ENSP00000201647,Q71RE2
9606.ENSP00000201979,E1P5L1
9606.ENSP00000202017,B2R511
9606.ENSP00000202556,B2RMX5
9606.ENSP00000202625,O95932
9606.ENSP00000202677,Q2PPJ7
9606.ENSP00000202816,Q86X92
9606.ENSP00000202967,O43346
9606.ENSP00000203001,B4DUV6
9606.ENSP00000203407,B2R7R8
9606.ENSP00000203556,A0AVN9
9606.ENSP00000203629,A8K7T9
9606.ENSP00000203630,Q15773
9606.ENSP00000203664,Q6IA10
9606.ENSP00000204517,O60409
9606.ENSP00000204549,Q8N8D1
9606.ENSP00000204566,B4DW44
9606.ENSP00000204604,Q9H2D3
9606.ENSP00000204679,B2R556
9606.ENSP00000204726,A5PKX6
9606.ENSP00000204961,D3DVU0
9606.ENSP00000205061,B7Z8Y4
9606.ENSP00000205143,E9PFG2
9606.ENSP00000205194,Q8TDY7
9606.ENSP00000205214,A5D8V3
9606.ENSP00000205402,B2R5X0
9606.ENSP00000205557,A2RRN8
9606.ENSP00000205636,Q6IAC4
9606.ENSP00000205948,B2R9M3
9606.ENSP00000206020,O75391
9606.ENSP00000206262,Q5TF49
9606.ENSP00000206423,D3DN67
9606.ENSP00000206474,B7WP17
9606.ENSP00000206513,Q15744
9606.ENSP00000206542,Q6IAC3
9606.ENSP00000206595,Q7L622
9606.ENSP00000206765,B4DWR7
9606.ENSP00000207457,A6NIS6
9606.ENSP00000207549,B4DWG9
9606.ENSP00000207870,B2RAW4
9606.ENSP00000209668,A8K3E3
9606.ENSP00000209718,A8K084
9606.ENSP00000209728,Q8TB30
9606.ENSP00000209873,Q5JB47
9606.ENSP00000209875,B2R8T9
9606.ENSP00000209884,B3KMA0
9606.ENSP00000209929,Q5EBX4
9606.ENSP00000210060,A8K688
9606.ENSP00000210187,B2RAA6
9606.ENSP00000210313,B4DZM8
9606.ENSP00000210444,B2RE98
9606.ENSP00000210633,A1A5C6
9606.ENSP00000211076,O95824
9606.ENSP00000211122,O43468
9606.ENSP00000211287,O14739
9606.ENSP00000211314,B2R552
9606.ENSP00000211413,A6ND08
9606.ENSP00000211936,B2R715
9606.ENSP00000211998,P18206
9606.ENSP00000212015,Q2XNF6
9606.ENSP00000212355,A0AUW8
9606.ENSP00000214869,Q13445
9606.ENSP00000215057,M0QXU0
9606.ENSP00000215061,Q9H607
9606.ENSP00000215071,B4DX18
9606.ENSP00000215095,P61266
9606.ENSP00000215368,O43921
9606.ENSP00000215375,D6W5Y3
9606.ENSP00000215530,B2RPH4
9606.ENSP00000215531,B9EJF4
9606.ENSP00000215565,P17568
9606.ENSP00000215567,B2RD55
9606.ENSP00000215570,P62206
9606.ENSP00000215574,A8K689
9606.ENSP00000215582,Q8IVT2
9606.ENSP00000215631,A8KAM2
9606.ENSP00000215637,A5PKV4
9606.ENSP00000215659,P53778
9606.ENSP00000215727,B2RAI1
9606.ENSP00000215730,O95721
9606.ENSP00000215742,B2RD97
9606.ENSP00000215743,P24347
9606.ENSP00000215754,A5Z1R8
9606.ENSP00000215770,A6NHG4
9606.ENSP00000215781,P13725
9606.ENSP00000215793,E9PAW1
9606.ENSP00000215794,Q53Y90
9606.ENSP00000215812,E7EN74
9606.ENSP00000215829,B4DJP7
9606.ENSP00000215832,A8CZ64
9606.ENSP00000215838,P20062
9606.ENSP00000215855,P26998
9606.ENSP00000215882,A8K8E8
9606.ENSP00000215885,O95768
9606.ENSP00000215886,P05162
9606.ENSP00000215904,Q96GD0
9606.ENSP00000215906,B2RCH3
9606.ENSP00000215909,B2R5E8
9606.ENSP00000215912,B4DRR9
9606.ENSP00000215917,Q6NXP8
9606.ENSP00000215941,Q6NXT1
9606.ENSP00000215957,Q5TI16
9606.ENSP00000215980,A7LM22
9606.ENSP00000216024,A8K9A2
9606.ENSP00000216027,Q8IWL3
9606.ENSP00000216034,Q9NS69
9606.ENSP00000216036,Q9UHP6
9606.ENSP00000216037,P17861
9606.ENSP00000216038,B2R6A8
9606.ENSP00000216039,A8K712
9606.ENSP00000216044,O00178
9606.ENSP00000216068,O96015
9606.ENSP00000216071,A0AV97
9606.ENSP00000216075,Q05DJ6
9606.ENSP00000216085,Q6I9X3
9606.ENSP00000216099,Q5JZ91
9606.ENSP00000216101,Q49AU5
9606.ENSP00000216106,O75672
9606.ENSP00000216115,Q13323
9606.ENSP00000216117,P09601
9606.ENSP00000216121,B2RAY3
9606.ENSP00000216122,O60785
9606.ENSP00000216124,B2RCA6
9606.ENSP00000216127,O95520
9606.ENSP00000216129,Q14166
9606.ENSP00000216133,O95931
9606.ENSP00000216139,P10323
9606.ENSP00000216144,Q86V35
9606.ENSP00000216160,Q15750
9606.ENSP00000216177,B1AHL8
9606.ENSP00000216180,B0QYI0
9606.ENSP00000216181,A8K6E4
9606.ENSP00000216185,Q5JZA0
9606.ENSP00000216190,A8MWD3
9606.ENSP00000216200,B2R4H7
9606.ENSP00000216211,B0QY25
9606.ENSP00000216214,B3KWG4
9606.ENSP00000216218,O14999
9606.ENSP00000216223,B2R765
9606.ENSP00000216225,B2RDY1
9606.ENSP00000216237,Q8TEN1
9606.ENSP00000216241,Q05CY2
9606.ENSP00000216252,Q7RTV0
9606.ENSP00000216254,O75809
9606.ENSP00000216259,A8K003
9606.ENSP00000216264,A0JNT4
9606.ENSP00000216268,B2RZH1
9606.ENSP00000216271,Q08AP4
9606.ENSP00000216274,B4DJL9
9606.ENSP00000216277,P51003
9606.ENSP00000216286,A8K6I7
9606.ENSP00000216294,Q16533
9606.ENSP00000216297,Q6GMT8
9606.ENSP00000216330,B2R4Q9
9606.ENSP00000216336,P08311
9606.ENSP00000216338,G3V2C5
9606.ENSP00000216341,P10144
9606.ENSP00000216361,A8K9K9
9606.ENSP00000216366,G3V2N8
9606.ENSP00000216367,A0AV55
9606.ENSP00000216373,B7ZKT6
9606.ENSP00000216392,A6NDQ4
9606.ENSP00000216410,Q96EK6
9606.ENSP00000216416,O95406
9606.ENSP00000216420,Q96BX2
9606.ENSP00000216442,B2RE33
9606.ENSP00000216446,Q96JT0
9606.ENSP00000216452,B2RAA4
9606.ENSP00000216455,B2RCK6
9606.ENSP00000216468,B3KTI6
9606.ENSP00000216471,Q2M3P3
9606.ENSP00000216479,B2R9L2
9606.ENSP00000216484,O15270
9606.ENSP00000216487,Q76LB3
9606.ENSP00000216489,Q13686
9606.ENSP00000216492,B2R9E9
9606.ENSP00000216500,B2R896
9606.ENSP00000216513,Q4QQH5
9606.ENSP00000216540,B9EGB6
9606.ENSP00000216554,P55010
9606.ENSP00000216602,A8K3A4
9606.ENSP00000216629,A8K7F5
9606.ENSP00000216639,Q3SYL2
9606.ENSP00000216714,P27695
9606.ENSP00000216727,D3DS49
9606.ENSP00000216733,B2RAJ7
9606.ENSP00000216756,F5H7P3
9606.ENSP00000216780,B4DW73
9606.ENSP00000216797,B2R8L6
9606.ENSP00000216802,Q15129
9606.ENSP00000216807,A6NFW5
9606.ENSP00000216832,B4DZX8
9606.ENSP00000216862,Q07973
9606.ENSP00000216911,E1P5F9
9606.ENSP00000216923,A2A2N4
9606.ENSP00000216962,P11216
9606.ENSP00000216968,B2RC04
9606.ENSP00000217026,B2RBS5
9606.ENSP00000217043,Q9H3Y0
9606.ENSP00000217086,A2A2D8
9606.ENSP00000217109,Q05048
9606.ENSP00000217121,B4DPJ6
9606.ENSP00000217131,B2RC40
9606.ENSP00000217133,Q9H4B7
9606.ENSP00000217159,Q96BD0
9606.ENSP00000217169,Q96CA5
9606.ENSP00000217173,O94941
9606.ENSP00000217182,B5BUF3
9606.ENSP00000217188,Q9H3Y6
9606.ENSP00000217195,A8K4J0
9606.ENSP00000217244,B4DYS6
9606.ENSP00000217246,A1Z1Q3
9606.ENSP00000217260,A2A2I6
9606.ENSP00000217270,A5JUU1
9606.ENSP00000217289,D3DW10
9606.ENSP00000217320,A0PJX2
9606.ENSP00000217372,A8K7R0
9606.ENSP00000217381,A8K7H9
9606.ENSP00000217386,P01178
9606.ENSP00000217402,E1P5N4
9606.ENSP00000217407,B2R938
9606.ENSP00000217420,Q8N489
9606.ENSP00000217423,P01036
9606.ENSP00000217426,A8K307
9606.ENSP00000217428,A6NCQ6
9606.ENSP00000217446,Q7Z489
9606.ENSP00000217455,O14734
9606.ENSP00000217456,A8K514
9606.ENSP00000217515,O43396
9606.ENSP00000217740,Q96EQ8
9606.ENSP00000217901,E9PDD5
9606.ENSP00000217909,O75854
9606.ENSP00000217939,Q6P1M7
9606.ENSP00000217958,O75832
9606.ENSP00000217961,B2RA47
9606.ENSP00000217971,B7Z1L3
9606.ENSP00000217999,O95030
9606.ENSP00000218004,D3DUY1
9606.ENSP00000218006,P51841
9606.ENSP00000218008,Q17RR0
9606.ENSP00000218068,B2R529
9606.ENSP00000218075,A8K0J6
9606.ENSP00000218089,B1AMT5
9606.ENSP00000218099,A8K9N4
9606.ENSP00000218104,P33897
9606.ENSP00000218176,A6NEF1
9606.ENSP00000218230,Q4VC04
9606.ENSP00000218249,P0C0E4
9606.ENSP00000218316,Q0VGG3
9606.ENSP00000218340,O75695
9606.ENSP00000218348,B2RTX1
9606.ENSP00000218388,P01033
9606.ENSP00000218436,A6NN03
9606.ENSP00000218516,P06280
9606.ENSP00000218548,P54707
9606.ENSP00000218721,O43193
9606.ENSP00000218758,A8K3V2
9606.ENSP00000218867,Q13326
9606.ENSP00000219022,O95362
9606.ENSP00000219066,P78549
9606.ENSP00000219069,B2R634
9606.ENSP00000219070,B2R6U1
9606.ENSP00000219097,B3KN89
9606.ENSP00000219139,Q9BSU1
9606.ENSP00000219150,B2RBL1
9606.ENSP00000219162,P47944
9606.ENSP00000219169,B2R4G7
9606.ENSP00000219197,B2RAN9
9606.ENSP00000219204,B3KQJ5
9606.ENSP00000219207,B2R9T6
9606.ENSP00000219235,A0N0Q6
9606.ENSP00000219240,A8K8C8
9606.ENSP00000219244,A0N0Q9
9606.ENSP00000219252,O15161
9606.ENSP00000219255,O14911
9606.ENSP00000219271,A0A2U6
9606.ENSP00000219281,B4DWE3
9606.ENSP00000219299,B2RAQ7
9606.ENSP00000219301,Q6PEW0
9606.ENSP00000219302,Q13232
9606.ENSP00000219313,D3DWS9
9606.ENSP00000219315,A8K380
9606.ENSP00000219334,B7ZL82
9606.ENSP00000219345,B3KMF3
9606.ENSP00000219368,B7Z8T6
9606.ENSP00000219400,D3DUK6
9606.ENSP00000219406,A6ZJ64
9606.ENSP00000219409,Q4TT69
9606.ENSP00000219431,G5E9E2
9606.ENSP00000219439,B4DSL2
9606.ENSP00000219476,A7E2E2
9606.ENSP00000219478,A8K6X7
9606.ENSP00000219479,A2IDD0
9606.ENSP00000219481,Q6ZRS7
9606.ENSP00000219548,A2IDB9
9606.ENSP00000219551,A2IDC0
9606.ENSP00000219596,D3DUC0
9606.ENSP00000219599,D5MNX0
9606.ENSP00000219611,B1B1M4
9606.ENSP00000219660,O94778
9606.ENSP00000219689,Q6AW97
9606.ENSP00000219746,B4DRD0
9606.ENSP00000219782,A8QJL9
9606.ENSP00000219789,B4DUV0
9606.ENSP00000219833,B2R707
9606.ENSP00000219837,O43328
9606.ENSP00000219905,B9EGR5
9606.ENSP00000219919,O43315
9606.ENSP00000220003,P41240
9606.ENSP00000220058,B7Z734
9606.ENSP00000220062,B2RC29
9606.ENSP00000220166,B2RBK0
9606.ENSP00000220325,Q9H223
9606.ENSP00000220420,O43548
9606.ENSP00000220429,A8IE52
9606.ENSP00000220478,A8K2B0
9606.ENSP00000220496,Q9NVM6
9606.ENSP00000220507,Q2KHQ5
9606.ENSP00000220509,Q8TCG0
9606.ENSP00000220514,O43482
9606.ENSP00000220562,D3DST8
9606.ENSP00000220592,Q8TCZ5
9606.ENSP00000220597,A8K1A3
9606.ENSP00000220616,O15274
9606.ENSP00000220659,B2RD62
9606.ENSP00000220669,E5RIG0
9606.ENSP00000220676,P56715
9606.ENSP00000220751,B7Z748
9606.ENSP00000220763,B2RD88
9606.ENSP00000220764,B7Z6B8
9606.ENSP00000220772,O00546
9606.ENSP00000220809,A8K022
9606.ENSP00000220812,Q3KNX0
9606.ENSP00000220822,A8K957
9606.ENSP00000220849,O43902
9606.ENSP00000220853,Q15006
9606.ENSP00000220913,Q9NRG0
9606.ENSP00000220940,A0AVF6
9606.ENSP00000220966,B3KMB5
9606.ENSP00000221086,B7Z291
9606.ENSP00000221114,B2RAC1
9606.ENSP00000221130,C8KIL8
9606.ENSP00000221132,A8K5I4
9606.ENSP00000221138,D3DSV4
9606.ENSP00000221166,B4DGN2
9606.ENSP00000221200,Q6NUM8
9606.ENSP00000221233,Q32Q81
9606.ENSP00000221265,M0QX35
9606.ENSP00000221307,B7Z8Z3
9606.ENSP00000221315,O94892
9606.ENSP00000221327,B2RCN6
9606.ENSP00000221399,O00295
9606.ENSP00000221403,Q9UQ10
9606.ENSP00000221418,A8K745
9606.ENSP00000221419,A6ND69
9606.ENSP00000221444,A1KYX7
9606.ENSP00000221452,Q01201
9606.ENSP00000221455,B4DDT8
9606.ENSP00000221459,Q9HAP6
9606.ENSP00000221462,B5MDA4
9606.ENSP00000221476,P06732
9606.ENSP00000221480,Q8NDM0
9606.ENSP00000221485,B4DFR9
9606.ENSP00000221486,B2RCY1
9606.ENSP00000221494,B2RBU1
9606.ENSP00000221496,O75246
9606.ENSP00000221498,Q9UK85
9606.ENSP00000221515,D6W649
9606.ENSP00000221538,Q53FE2
9606.ENSP00000221543,B4DT12
9606.ENSP00000221561,B2RBL0
9606.ENSP00000221566,D6W610
9606.ENSP00000221573,B2RBZ6
9606.ENSP00000221665,A2RU72
9606.ENSP00000221671,Q8N6Y7
9606.ENSP00000221700,A0A024R7K3
9606.ENSP00000221730,A3KMR3
9606.ENSP00000221742,P48664
9606.ENSP00000221797,C5HZ15
9606.ENSP00000221801,B5BUE8
9606.ENSP00000221804,C5HZ13
9606.ENSP00000221847,A0N0N2
9606.ENSP00000221855,O00111
9606.ENSP00000221856,B2RDT0
9606.ENSP00000221859,B2R5J2
9606.ENSP00000221891,O00113
9606.ENSP00000221922,Q9Y3X0
9606.ENSP00000221930,A8K792
9606.ENSP00000221954,O75871
9606.ENSP00000221957,A8K4Y9
9606.ENSP00000221972,A0N775
9606.ENSP00000221973,P55344
9606.ENSP00000221978,Q16617
9606.ENSP00000221980,Q9UMF0
9606.ENSP00000221992,H9KVA7
9606.ENSP00000221996,O43186
9606.ENSP00000222002,Q06520
9606.ENSP00000222005,Q16543
9606.ENSP00000222008,Q7Z4Y2
9606.ENSP00000222032,B2R569
9606.ENSP00000222033,A8K886
9606.ENSP00000222115,Q14470
9606.ENSP00000222120,O95716
9606.ENSP00000222122,A2I2P4
9606.ENSP00000222139,B2RCG4
9606.ENSP00000222145,Q5U651
9606.ENSP00000222219,B2RD06
9606.ENSP00000222224,Q96BZ8
9606.ENSP00000222247,Q02543
9606.ENSP00000222248,O43702
9606.ENSP00000222250,B2RBG9
9606.ENSP00000222254,O00459
9606.ENSP00000222256,A8K0J4
9606.ENSP00000222271,B4DKJ3
9606.ENSP00000222284,A8MWW0
9606.ENSP00000222286,B2RC82
9606.ENSP00000222305,O00671
9606.ENSP00000222329,B2RAP1
9606.ENSP00000222330,O14959
9606.ENSP00000222339,Q6IPE0
9606.ENSP00000222345,O60292
9606.ENSP00000222374,B2R7L5
9606.ENSP00000222381,B2RA40
9606.ENSP00000222382,Q495Y1
9606.ENSP00000222388,O60864
9606.ENSP00000222390,A1L3U6
9606.ENSP00000222399,P07942
9606.ENSP00000222402,A4D1V0
9606.ENSP00000222462,Q2M3G1
9606.ENSP00000222481,A4D1M4
9606.ENSP00000222482,B7Z576
9606.ENSP00000222511,A4D1E9
9606.ENSP00000222543,P48307
9606.ENSP00000222547,O15155
9606.ENSP00000222553,A4D0Q9
9606.ENSP00000222567,A0PJ45
9606.ENSP00000222573,A4D133
9606.ENSP00000222574,B3KVB7
9606.ENSP00000222584,O60402
9606.ENSP00000222644,A4D157
9606.ENSP00000222674,A4D164
9606.ENSP00000222693,A4D0U2
9606.ENSP00000222718,A1L4K3
9606.ENSP00000222725,B3KTY6
9606.ENSP00000222726,A4D179
9606.ENSP00000222728,A4D192
9606.ENSP00000222747,A4D0V8
9606.ENSP00000222792,A4D1A2
9606.ENSP00000222800,H7BYM8
9606.ENSP00000222803,Q9NWM8
9606.ENSP00000222812,O15447
9606.ENSP00000222823,B4DTU3
9606.ENSP00000222968,D6W5S5
9606.ENSP00000222982,A4D289
9606.ENSP00000222990,A4D207
9606.ENSP00000223023,A1JUI9
9606.ENSP00000223026,D0VXG1
9606.ENSP00000223029,F8W950
9606.ENSP00000223061,B2R9E1
9606.ENSP00000223073,A4D100
9606.ENSP00000223095,B7Z4S0
9606.ENSP00000223114,Q496A6
9606.ENSP00000223127,B2R6W6
9606.ENSP00000223129,P35244
9606.ENSP00000223136,Q9BTP3
9606.ENSP00000223145,A4D103
9606.ENSP00000223167,Q9BUA6
9606.ENSP00000223208,A4D1M0
9606.ENSP00000223210,A0AUL8
9606.ENSP00000223215,B2R6S1
9606.ENSP00000223273,A4D1W4
9606.ENSP00000223293,Q96L25
9606.ENSP00000223321,P25787
9606.ENSP00000223324,Q96Q68
9606.ENSP00000223357,Q14113
9606.ENSP00000223364,B2R4L3
9606.ENSP00000223366,A4D2J2
9606.ENSP00000223369,B4DR94
9606.ENSP00000223398,O14527
9606.ENSP00000223459,A8MV39
9606.ENSP00000223500,B2RD95
9606.ENSP00000223528,B4DUX9
9606.ENSP00000223641,P38390
9606.ENSP00000223642,P01031
9606.ENSP00000223795,O43404
9606.ENSP00000223836,P00568
9606.ENSP00000223862,P04808
9606.ENSP00000223864,B2R6W0
9606.ENSP00000224073,O60869
9606.ENSP00000224140,A2A396
9606.ENSP00000224337,O75498
9606.ENSP00000224356,B3KNI4
9606.ENSP00000224652,O95260
9606.ENSP00000224721,C4IXS9
9606.ENSP00000224784,B2R8A4
9606.ENSP00000224807,Q8NCJ0
9606.ENSP00000224862,A1L4J8
9606.ENSP00000224950,D3DR99
9606.ENSP00000225171,Q5JVQ1
9606.ENSP00000225174,P30405
9606.ENSP00000225235,O60347
9606.ENSP00000225275,A1L4B8
9606.ENSP00000225276,Q12971
9606.ENSP00000225296,B4DHF9
9606.ENSP00000225298,Q9H4N6
9606.ENSP00000225328,G5E981
9606.ENSP00000225371,P11678
9606.ENSP00000225387,P05813
9606.ENSP00000225388,A1L3A6
9606.ENSP00000225430,B2R4K2
9606.ENSP00000225474,A8MXR7
9606.ENSP00000225504,B2R4X8
9606.ENSP00000225512,P56703
9606.ENSP00000225519,B2R640
9606.ENSP00000225525,B2RD53
9606.ENSP00000225538,P51575
9606.ENSP00000225550,O76014
9606.ENSP00000225576,Q3LIC7
9606.ENSP00000225577,B2R779
9606.ENSP00000225609,A8KA67
9606.ENSP00000225614,B2RC07
9606.ENSP00000225655,P07737
9606.ENSP00000225665,F5GY65
9606.ENSP00000225688,B2R709
9606.ENSP00000225698,Q07021
9606.ENSP00000225719,B7Z7T9
9606.ENSP00000225724,J3KST5
9606.ENSP00000225726,B2RAS8
9606.ENSP00000225728,B2R4L9
9606.ENSP00000225729,B2R8G5
9606.ENSP00000225737,B2R650
