disease_id,disease_name
MONDO_0019200,retinitis pigmentosa
EFO_1001469,obsolete_Mantle cell lymphoma
EFO_0007986,reticulocyte count
MONDO_0044701,childhood-onset motor and cognitive regression syndrome with extrapyramidal movement disorder
Orphanet_124,Blackfan-Diamond anemia
EFO_0000228,obsolete_adenocarcinoma
MONDO_0010279,terminal osseous dysplasia-pigmentary defects syndrome
EFO_0001378,multiple myeloma
MONDO_0021063,malignant colon neoplasm
EFO_0001075,obsolete_ovarian carcinoma
EFO_0007532,obsolete_uterine corpus cancer
MONDO_0014817,"nephrotic syndrome, type 12"
EFO_0004346,neuroimaging measurement
MONDO_0015780,dyskeratosis congenita
MONDO_0013517,beta-thalassemia HBB/LCRB
EFO_1001950,obsolete_colon carcinoma
Orphanet_300751,Familial dilated cardiomyopathy with conduction defect due to LMNA mutation
MONDO_0016971,limb-girdle muscular dystrophy
EFO_0004305,erythrocyte count
MONDO_0800025,Teebi hypertelorism syndrome 1
HP_0004804,Congenital hemolytic anemia
EFO_0004999,N-glycan measurement
MONDO_0007962,megalodactyly
MONDO_0023655,"immunodeficiency 14b, autosomal recessive"
EFO_0022223,metabolite ratio
MONDO_0013171,purine nucleoside phosphorylase deficiency
MONDO_0009329,pulmonary venoocclusive disease 2
EFO_0005140,obsolete_autoimmune disease
EFO_0000538,obsolete_hypertrophic cardiomyopathy
MONDO_0017979,autoimmune lymphoproliferative syndrome
EFO_0000222,acute myeloid leukemia
EFO_0009454,obsolete_gastric ulcer
Orphanet_552,MODY
EFO_0010934,aspartate aminotransferase to alanine aminotransferase ratio
MONDO_0100062,developmental and epileptic encephalopathy
EFO_0005106,body composition measurement
EFO_0004234,obsolete_erectile dysfunction
EFO_0022304,saturated fatty acids measurement
EFO_0800494,pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC) measurement
EFO_0004574,total cholesterol measurement
EFO_0022146,phospholipids in small VLDL measurement
EFO_0022266,free cholesterol in LDL measurement
EFO_0004529,lipid measurement
EFO_0800074,3-methylglutarylcarnitine (2) measurement
EFO_0022225,cholesterol in medium VLDL measurement
EFO_0800380,adipoylcarnitine (C6-DC) measurement
EFO_0022164,phospholipids in IDL measurement
MONDO_0018479,congenital adrenal hyperplasia
HP_0002014,Diarrhea
MONDO_0043797,spinal cord injury
MONDO_0041052,postherpetic neuralgia
HP_0000863,Central diabetes insipidus
HP_0002902,Hyponatremia
MONDO_0001382,hepatorenal syndrome
EFO_0008620,obsolete_Polycystic Kidney Disease
EFO_0003144,heart failure
OBA_0002272,reticulocyte amount
HP_0001000,Abnormality of skin pigmentation
EFO_0005801,obsolete_cholesterol embolism
EFO_0005763,pulse pressure measurement
Orphanet_199351,Adult-onset dystonia-parkinsonism
MONDO_0044637,infantile-onset generalized dyskinesia with orofacial involvement
HP_0012531,Pain
EFO_0001068,obsolete_malaria
Orphanet_277,Severe combined immunodeficiency due to adenosine deaminase deficiency
EFO_0004908,testosterone measurement
MONDO_0019313,lymphatic malformation
EFO_0010682,liver transplant
Orphanet_324262,Autosomal recessive congenital cerebellar ataxia due to MGLUR1 deficiency
MONDO_0016033,Cornelia de Lange syndrome
MONDO_0030673,"spastic paraplegia 86, autosomal recessive"
EFO_1001485,obsolete_acromegaly
EFO_0005687,obsolete_fibromyalgia
EFO_0004272,anemia (phenotype)
EFO_1001219,obsolete_trigeminal neuralgia
EFO_0004138,bundle branch block
MONDO_0005180,Parkinson disease
EFO_0003944,obsolete_tibia fracture
EFO_0022291,phosphoglycerides measurement
HP_0003124,Hypercholesterolemia
EFO_0010118,sphingomyelin measurement
EFO_0022255,cholesteryl esters to total lipids in small LDL percentage
EFO_0022257,cholesteryl esters to total lipids in very large HDL percentage
EFO_0022270,free cholesterol in small HDL measurement
EFO_0022144,triglycerides in very small VLDL measurement
EFO_0022307,total lipids in HDL measurement
EFO_0801140,C36:4 phosphatidylethanolamine measurement
EFO_0022158,triglycerides in small HDL measurement
EFO_0007805,HDL cholesterol change measurement
EFO_0022236,cholesterol to total lipids in large VLDL percentage
OBA_2050062,serum alanine aminotransferase amount
EFO_0022273,free cholesterol in very large HDL measurement
EFO_0022272,free cholesterol in small VLDL measurement
EFO_0022320,triglycerides in LDL measurement
EFO_0022309,total lipids in lipoprotein particles measurement
EFO_0022325,triglycerides in very large VLDL measurement
EFO_0022149,triglycerides in IDL measurement
EFO_0009765,alanine measurement
EFO_0000195,metabolic syndrome
EFO_0920032,concentration of medium HDL particles measurement
EFO_0022317,triglycerides in HDL measurement
EFO_0022311,total lipids in small HDL measurement
EFO_0022188,concentration of large HDL particles measurement
EFO_0007984,platelet component distribution width
EFO_0022233,cholesterol to total lipids in IDL percentage
EFO_0022232,cholesterol to total lipids in chylomicrons and extremely large VLDL percentage
EFO_0010574,epithelial cell adhesion molecule measurement
Orphanet_240071,Classical progressive supranuclear palsy
Orphanet_240085,Progressive supranuclear palsy - parkinsonism
EFO_0022298,phospholipids in very large HDL measurement
EFO_0010351,cholesteryl ester measurement
EFO_0022251,cholesteryl esters to total lipids in medium HDL percentage
EFO_0022293,phospholipids in HDL measurement
EFO_0022336,triglycerides to total lipids in small HDL percentage
MONDO_0014375,congenital diarrhea 7 with exudative enteropathy
EFO_0005584,obsolete_seborrheic keratosis
MONDO_0008315,prostate cancer
Orphanet_145,Hereditary breast and ovarian cancer syndrome
EFO_0002618,pancreatic carcinoma
EFO_0022175,total lipids in large VLDL
MONDO_0014405,STING-associated vasculopathy with onset in infancy
EFO_0000365,colorectal adenocarcinoma
MONDO_0002629,bone osteosarcoma
EFO_1000044,obsolete_pancreatic adenocarcinoma
EFO_0000673,obsolete_prostate adenocarcinoma
EFO_0022183,phospholipids in medium LDL measurement
EFO_0022178,triglycerides in large VLDL measurement
EFO_0022287,free cholesterol to total lipids in small VLDL percentage
EFO_0006505,obsolete_chronic bronchitis
HP_0000924,Abnormality of the skeletal system
MONDO_0001574,capillary disorder
MONDO_0024533,"pulmonary hypertension, primary, 1"
MONDO_0010880,"telangiectasia, hereditary hemorrhagic, type 2"
MONDO_0010264,X-linked adrenal hypoplasia congenita
EFO_0009805,whole body water mass
MONDO_0020745,ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome
MONDO_0015626,Charcot-Marie-Tooth disease
MONDO_0009454,immunodeficiency-centromeric instability-facial anomalies syndrome 1
EFO_1000785,obsolete_Sezary's disease
EFO_0006525,cigarettes per day measurement
EFO_0004838,calcium measurement
EFO_0000756,obsolete_melanoma
EFO_0003958,obsolete_sunburn
EFO_0009582,sprain
MONDO_0005178,osteoarthritis
Orphanet_140927,Benign familial neonatal-infantile seizures
MONDO_0100352,episodic kinesigenic dyskinesia 1
MONDO_0002639,glossopharyngeal nerve disorder
EFO_0009963,bipolar I disorder
MONDO_0005277,migraine disorder
EFO_0010701,mean reticulocyte volume
EFO_0011011,sitting height measurement
MONDO_0009288,glycogen storage disease Ib
MONDO_0018240,TRPV4-related bone disorder
MONDO_0011801,"spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1"
MONDO_0800028,"dyskinesia with orofacial involvement, autosomal dominant"
OBA_0000061,circulating fibrinogen levels
EFO_0004274,obsolete_gout
EFO_0004528,mean corpuscular hemoglobin concentration
EFO_0020946,phospholipids:total lipids ratio
HP_0000556,Retinal dystrophy
EFO_0004536,total blood protein measurement
MONDO_0030924,proteasome-associated autoinflammatory syndrome 5
EFO_0003869,obsolete_breast neoplasm
EFO_0007347,obsolete_listeriosis
Orphanet_1065,Aniridia - cerebellar ataxia - intellectual disability
MONDO_0017325,early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation
EFO_1000860,obsolete_cerebral atherosclerosis
EFO_0022169,phospholipids in large VLDL measurement
EFO_0022302,polyunsaturated fatty acids to monounsaturated fatty acids ratio
EFO_0022261,degree of unsaturation measurement
EFO_0022249,cholesteryl esters to total lipids in large LDL percentage
EFO_0022283,free cholesterol to total lipids in medium LDL percentage
EFO_0022333,triglycerides to total lipids in medium HDL percentage
MONDO_0010396,"developmental and epileptic encephalopathy, 2"
Orphanet_228337,CLN10 disease
EFO_0000304,obsolete_breast adenocarcinoma
MONDO_0015278,familial pancreatic carcinoma
MONDO_0009044,Crigler-Najjar syndrome
MONDO_0014518,platelet-type bleeding disorder 19
MONDO_0021661,coronary atherosclerosis
EFO_0022271,free cholesterol in small LDL measurement
EFO_0022234,cholesterol to total lipids in large HDL percentage
EFO_0022244,cholesterol to total lipids in very large VLDL percentage
EFO_0022253,cholesteryl esters to total lipids in medium VLDL percentage
OBA_2050113,LDL particle size
EFO_0003914,obsolete_atherosclerosis
EFO_0022246,cholesteryl esters to total lipids in chylomicrons and extremely large VLDL percentage
EFO_0004911,obsolete_familial hypercholesterolemia
MONDO_0007982,"metaphyseal chondrodysplasia, Jansen type"
MONDO_0030727,developmental and epileptic encephalopathy 101
EFO_0004338,body weight
OBA_VT0002460,blood immunoglobulin amount
MONDO_0010132,familial thyroid dyshormonogenesis
EFO_0010257,"global developmental delay, progressive ataxia, and elevated glutamine"
MONDO_0002280,anemia
MONDO_0008667,von Hippel-Lindau disease
EFO_0000349,obsolete_clear cell renal carcinoma
MONDO_0012729,"erythrocytosis, familial, 4"
EFO_0005689,non-high density lipoprotein cholesterol measurement
HP_0000079,Abnormality of the urinary system
MONDO_0030513,dystonia 33
EFO_0000305,breast carcinoma
MONDO_0007537,lateral meningocele syndrome
MONDO_0013711,peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome
EFO_0004746,lipoprotein-associated phospholipase A(2) measurement
EFO_0022306,total lipids in chylomicrons and extremely large VLDL measurement
OBA_2050296,chylomicron amount
EFO_0006807,linoleic acid measurement
EFO_0022260,concentration of chylomicrons and extremely large VLDL particles measurement
EFO_0022315,total phospholipids in lipoprotein particles measurement
EFO_0003777,obsolete_heart disease
EFO_0022308,total lipids in LDL measurement
MONDO_0957876,"neuronopathy, distal hereditary motor, autosomal recessive 10"
MONDO_0859314,developmental and epileptic encephalopathy 108
EFO_0020945,free cholesterol:total lipids ratio
EFO_0022258,cholesteryl esters to total lipids in very large VLDL percentage
EFO_0020094,Lambert-Eaton myasthenic syndrome
HP_0002411,Myokymia
MONDO_0010747,X-linked dystonia-parkinsonism
EFO_0004531,urate measurement
EFO_0022284,free cholesterol to total lipids in medium VLDL percentage
EFO_0004329,alcohol drinking
OBA_1000959,chloride amount
MONDO_0021698,alcohol-related disorders
MONDO_0015791,peripheral precocious puberty
MONDO_0002244,factor VII deficiency
EFO_0004194,obsolete_IGA glomerulonephritis
MONDO_0011173,thrombocythemia 2
EFO_0003893,obsolete_ovarian neoplasm
MONDO_0044970,mitochondrial disease
Orphanet_70595,Sensory ataxic neuropathy - dysarthria - ophthalmoparesis
HP_0001258,Spastic paraplegia
MONDO_0014209,early-onset progressive neurodegeneration-blindness-ataxia-spasticity syndrome
Orphanet_352709,CLN13 disease
EFO_0007800,body fat percentage
MONDO_0957247,"congenital myopathy 22A, classic"
HP_0003326,Myalgia
MONDO_0019952,congenital myopathy
HP_0001907,Thromboembolism
EFO_0003827,obsolete_pulmonary embolism
EFO_0000684,respiratory system disease
MONDO_0009395,hyperostosis corticalis generalisata
MONDO_0009324,Hartnup disease
