id,name
MONDO_0000259,asymptomatic dengue
MONDO_0000266,pulmonary aspergilloma
MONDO_0000270,lower respiratory tract disorder
MONDO_0000271,tuberculous salpingitis
MONDO_0000273,Kunjin virus infectous disease
MONDO_0000276,Powassan encephalitis
MONDO_0000283,"Hantavirus hemorrhagic fever with renal syndrome, Seoul virus type"
MONDO_0000284,"Hantavirus hemorrhagic fever with renal syndrome, Puumala virus type"
MONDO_0000290,primary amebic meningoencephalitis
MONDO_0000291,granulomatous amebic encephalitis
MONDO_0000297,baylisascariasis
MONDO_0000299,thelaziasis
MONDO_0000301,ophthalmomyiasis
MONDO_0000302,basidiobolomycosis
MONDO_0000304,penicilliosis
MONDO_0000308,primary systemic mycosis
MONDO_0000310,Alkhurma hemorrhagic fever
MONDO_0000314,primary bacterial infectious disease
MONDO_0000315,commensal bacterial infectious disease
MONDO_0000316,opportunistic bacterial infectious disease
MONDO_0000320,glandular tularemia
MONDO_0000321,typhoidal tularemia
MONDO_0000327,Buruli ulcer disease
MONDO_0000330,endemic typhus
MONDO_0000331,Rickettsia helvetica spotted fever
MONDO_0000332,sennetsu fever
MONDO_0000333,early congenital syphilis
MONDO_0000334,multinodular goiter
MONDO_0000335,parenchymatous neurosyphilis
MONDO_0000336,meningovascular neurosyphilis
MONDO_0000339,spinal polio
MONDO_0000340,bulbospinal polio
MONDO_0000341,paralytic poliomyelitis
MONDO_0000342,O'nyong'nyong fever
MONDO_0000343,Barmah forest virus disease
MONDO_0000344,Ross river fever
MONDO_0000346,"Hantavirus hemorrhagic fever with renal syndrome, Dobrava-Belgrade virus type"
MONDO_0000351,disorder of methionine catabolism
MONDO_0000355,Ullrich congenital muscular dystrophy
MONDO_0000358,orofacial cleft
MONDO_0000359,spondylocostal dysostosis
MONDO_0000363,gummatous syphilis
MONDO_0000365,primary congenital glaucoma
MONDO_0000367,taeniasis
MONDO_0000368,extrapulmonary tuberculosis
MONDO_0000369,abdominal tuberculosis
MONDO_0000371,oral cavity carcinoma in situ
MONDO_0000372,pharynx carcinoma in situ
MONDO_0000373,gall bladder carcinoma in situ
MONDO_0000374,bile duct carcinoma in situ
MONDO_0000376,respiratory system cancer
MONDO_0000377,malignant Leydig cell tumor
MONDO_0000379,malignant Sertoli-Leydig cell tumor
MONDO_0000380,paranasal sinus carcinoma
MONDO_0000381,infiltrating renal pelvis transitional cell carcinoma
MONDO_0000382,respiratory system benign neoplasm
MONDO_0000383,benign reproductive system neoplasm
MONDO_0000385,benign digestive system neoplasm
MONDO_0000386,"digestive system neuroendocrine tumor, grade 1/2"
MONDO_0000387,hypochromic microcytic anemia
MONDO_0000389,atelosteogenesis
MONDO_0000390,vitelliform macular dystrophy
MONDO_0000393,partial fetal alcohol syndrome
MONDO_0000395,alcohol-related birth defect
MONDO_0000396,spastic cerebral palsy
MONDO_0000397,ataxic cerebral palsy
MONDO_0000402,small cell carcinoma
MONDO_0000405,anal canal cancer
MONDO_0000407,malignant pleural solitary fibrous tumor
MONDO_0000408,fetal alcohol spectrum disorder
MONDO_0000415,adolescence-adult electroclinical syndrome
MONDO_0000421,inborn serine deficiency
MONDO_0000425,X-linked disease
MONDO_0000426,autosomal dominant disease
MONDO_0000428,Y-linked disease
MONDO_0000429,autosomal genetic disease
MONDO_0000430,mature T-cell and NK-cell non-Hodgkin lymphoma
MONDO_0000432,lymphoplasmacytic lymphoma
MONDO_0000437,cerebellar ataxia
MONDO_0000447,autosomal dominant polycystic liver disease
MONDO_0000448,paraganglioma
MONDO_0000453,short QT syndrome
MONDO_0000455,cone dystrophy
MONDO_0000456,cerebral creatine deficiency syndrome
MONDO_0000457,classical glioblastoma
MONDO_0000458,proneural glioblastoma
MONDO_0000459,mesenchymal glioblastoma
MONDO_0000460,neural glioblastoma
MONDO_0000462,eye adnexa disorder
MONDO_0000463,Ochoa syndrome
MONDO_0000465,atrioventricular block
MONDO_0000467,second-degree atrioventricular block
MONDO_0000469,sinoatrial node disorder
MONDO_0000470,endocardium disorder
MONDO_0000471,tricuspid valve disorder
MONDO_0000473,arterial disorder
MONDO_0000474,pericardium disorder
MONDO_0000476,generalized dystonia
MONDO_0000477,focal dystonia
MONDO_0000478,multifocal dystonia
MONDO_0000479,segmental dystonia
MONDO_0000480,anismus
MONDO_0000481,cervical dystonia
MONDO_0000482,focal hand dystonia
MONDO_0000483,oculogyric crisis
MONDO_0000485,spasmodic dystonia
MONDO_0000486,craniofacial dystonia
MONDO_0000487,hemidystonia
MONDO_0000490,glomerulosclerosis
MONDO_0000494,renal fibrosis
MONDO_0000498,arteritic anterior ischemic optic neuropathy
MONDO_0000499,non-arteritic anterior ischemic optic neuropathy
MONDO_0000500,tongue squamous cell carcinoma
MONDO_0000502,villous adenoma
MONDO_0000503,lung adenocarcinoma in situ
MONDO_0000507,inclusion body myopathy with Paget disease of bone and frontotemporal dementia
MONDO_0000508,syndromic intellectual disability
MONDO_0000509,non-syndromic intellectual disability
MONDO_0000510,synucleinopathy
MONDO_0000513,bone ameloblastoma
MONDO_0000514,bone squamous cell carcinoma
MONDO_0000515,bone chondrosarcoma
MONDO_0000516,phalanx chondroma
MONDO_0000517,brain stem medulloblastoma
MONDO_0000518,sacrum chordoma
MONDO_0000519,corpus callosum oligodendroglioma
MONDO_0000520,parietal lobe ependymal tumor
MONDO_0000521,salivary gland carcinoma
MONDO_0000524,mixed extragonadal germ cell cancer
MONDO_0000525,cecum villous adenoma
MONDO_0000527,colon adenoma
MONDO_0000531,bronchus mucoepidermoid carcinoma
MONDO_0000532,lung combined type small cell adenocarcinoma
MONDO_0000534,trachea mucoepidermoid carcinoma
MONDO_0000536,pharyngeal squamous cell carcinoma
MONDO_0000539,striated muscle rhabdoid tumor
MONDO_0000540,small intestinal neuroendocrine tumor G1
MONDO_0000541,jejunal adenocarcinoma
MONDO_0000544,mucosal melanoma
MONDO_0000545,sublingual gland adenoid cystic carcinoma
MONDO_0000548,ovarian clear cell cancer
MONDO_0000549,cervical neuroblastoma
MONDO_0000550,extra-adrenal sympathetic paraganglioma
MONDO_0000551,retroperitoneal neuroblastoma
MONDO_0000552,breast lobular carcinoma
MONDO_0000554,endocervical adenocarcinoma
MONDO_0000563,GRID2-related autosomal dominant spinocerebellar ataxia
MONDO_0000565,infective endocarditis
MONDO_0000568,autoimmune disorder of central nervous system
MONDO_0000569,autoimmune disorder of endocrine system
MONDO_0000572,recombinase activating gene 1 deficiency
MONDO_0000573,recombinase activating gene 2 deficiency
MONDO_0000577,congenital anemia
MONDO_0000583,immunoglobulin beta deficiency
MONDO_0000586,autoimmune disorder of exocrine system
MONDO_0000587,"autoimmune disease of ear, nose and throat"
MONDO_0000588,autoimmune disorder of gastrointestinal tract
MONDO_0000589,autoimmune disorder of musculoskeletal system
MONDO_0000590,autoimmune disorder of peripheral nervous system
MONDO_0000591,intrinsic cardiomyopathy
MONDO_0000592,specific developmental disorder
MONDO_0000594,pervasive developmental disorder
MONDO_0000602,autoimmune disorder of blood
MONDO_0000603,autoimmune disorder of cardiovascular system
MONDO_0000605,hypersensitivity reaction disease
MONDO_0000607,primary cutaneous T-cell non-Hodgkin lymphoma
MONDO_0000608,familial juvenile hyperuricemic nephropathy
MONDO_0000610,marantic endocarditis
MONDO_0000612,lymphatic system cancer
MONDO_0000620,breast benign neoplasm
MONDO_0000621,immune system cancer
MONDO_0000624,benign female reproductive system neoplasm
MONDO_0000625,benign male reproductive system neoplasm
MONDO_0000627,benign endocrine neoplasm
MONDO_0000628,central nervous system organ benign neoplasm
MONDO_0000629,cardiovascular organ benign neoplasm
MONDO_0000630,immune system organ benign neoplasm
MONDO_0000631,bone benign neoplasm
MONDO_0000632,uterine benign neoplasm
MONDO_0000633,sensory organ benign neoplasm
MONDO_0000634,thoracic benign neoplasm
MONDO_0000636,musculoskeletal system benign neoplasm
MONDO_0000637,musculoskeletal system cancer
MONDO_0000639,cartilage cancer
MONDO_0000640,central nervous system primitive neuroectodermal neoplasm
MONDO_0000645,fallopian tube benign neoplasm
MONDO_0000646,ovarian benign neoplasm
MONDO_0000648,nervous system benign neoplasm
MONDO_0000649,sensory system cancer
MONDO_0000650,peritoneal benign neoplasm
MONDO_0000652,integumentary system benign neoplasm
MONDO_0000653,integumentary system cancer
MONDO_0000654,benign connective and soft tissue neoplasm
MONDO_0000659,delta-heavy chain disease
MONDO_0000660,akinetopsia
MONDO_0000661,alexithymia
MONDO_0000662,amusia
MONDO_0000663,anosognosia
MONDO_0000664,apperceptive agnosia
MONDO_0000666,associative visual agnosia
MONDO_0000667,auditory agnosia
MONDO_0000668,autotopagnosia
MONDO_0000669,color agnosia
MONDO_0000670,cortical deafness
MONDO_0000671,finger agnosia
MONDO_0000672,form agnosia
MONDO_0000673,integrative agnosia
MONDO_0000674,mirror agnosia
MONDO_0000675,pain agnosia
MONDO_0000676,phonagnosia
MONDO_0000677,semantic agnosia
MONDO_0000678,simultanagnosia
MONDO_0000679,social emotional agnosia
MONDO_0000680,astereognosia
MONDO_0000681,tactile agnosia
MONDO_0000682,time agnosia
MONDO_0000683,topographical agnosia
MONDO_0000684,verbal auditory agnosia
MONDO_0000685,visual agnosia
MONDO_0000686,alexia without agraphia
MONDO_0000687,diffuse alopecia areata
MONDO_0000688,inborn organic aciduria
MONDO_0000698,gamma-amino butyric acid metabolism disorder
MONDO_0000700,familial hemiplegic migraine
MONDO_0000702,microscopic colitis
MONDO_0000715,lymph node adenoid cystic carcinoma
MONDO_0000721,xanthinuria
MONDO_0000722,non-syndromic synpolydactyly
MONDO_0000727,scapuloperoneal myopathy
MONDO_0000728,ptosis
MONDO_0000732,combined oxidative phosphorylation deficiency
MONDO_0000733,cornea plana
MONDO_0000734,Ohdo syndrome and variants
MONDO_0000736,dyschromatosis universalis hereditaria
MONDO_0000754,anal fistula
MONDO_0000756,parameningeal embryonal rhabdomyosarcoma
MONDO_0000757,glucocorticoid-induced osteoporosis
MONDO_0000761,syndrome caused by partial chromosomal deletion
MONDO_0000762,syndrome caused by partial chromosomal duplication
MONDO_0000763,epithelial and subepithelial corneal dystrophy
MONDO_0000764,epithelial-stromal TGFBI dystrophy
MONDO_0000766,corneal endothelial dystrophy
MONDO_0000771,allergic respiratory disease
MONDO_0000774,autoimmune neuropathy
MONDO_0000809,purpura fulminans
MONDO_0000811,anomalous left coronary artery from the pulmonary artery
MONDO_0000812,vertebral column disorder
MONDO_0000813,cardiac tuberculosis
MONDO_0000814,B-cell adult acute lymphocytic leukemia
MONDO_0000816,abdominal obesity-metabolic syndrome
MONDO_0000819,anencephaly
MONDO_0000820,cerebral cavernous malformation
MONDO_0000824,congenital diarrhea
MONDO_0000827,salmonellosis
MONDO_0000828,juvenile-onset Parkinson disease
MONDO_0000831,thrombotic disease
MONDO_0000833,bone remodeling disease
MONDO_0000837,bone resorption disease
MONDO_0000840,dysbaric osteonecrosis
MONDO_0000845,fibrous dysplasia
MONDO_0000858,neuronal intestinal dysplasia
MONDO_0000859,spina bifida occulta
MONDO_0000863,"myopathy, lactic acidosis, and sideroblastic anemia"
MONDO_0000870,childhood acute lymphoblastic leukemia
MONDO_0000871,T-cell childhood acute lymphocytic leukemia
MONDO_0000872,B-cell childhood acute lymphoblastic leukemia
MONDO_0000873,lymphoblastic lymphoma
MONDO_0000874,T-cell childhood lymphoblastic lymphoma
MONDO_0000875,adult acute monocytic leukemia
MONDO_0000878,cytomegalovirus retinitis
MONDO_0000888,gastrointestinal mucositis
MONDO_0000889,haemophilus meningitis
MONDO_0000890,Zika virus congenital syndrome
MONDO_0000891,mixed fibrolamellar hepatocellular carcinoma
MONDO_0000893,mixed mucinous and nonmucinous bronchioloalveolar adenocarcinoma
MONDO_0000894,mucinous bronchioloalveolar adenocarcinoma
MONDO_0000895,nonmucinous bronchioloalveolar adenocarcinoma
MONDO_0000901,relapsed/refractory diffuse large B-cell lymphoma
MONDO_0000902,agenesis of the corpus callosum with peripheral neuropathy
MONDO_0000903,myoclonus-dystonia syndrome
MONDO_0000904,complex cortical dysplasia with other brain malformations
MONDO_0000908,arrhythmogenic right ventricular dysplasia 13
MONDO_0000909,Bartter disease type 4B
MONDO_0000910,retinitis pigmentosa 6
MONDO_0000912,autosomal recessive nonsyndromic hearing loss 5
MONDO_0000913,hereditary spherocytosis type 2
MONDO_0000914,"cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1"
MONDO_0000916,intestinal infectious disease
MONDO_0000919,ampulla of vater cancer
MONDO_0000920,duodenum cancer
MONDO_0000921,ampulla of vater neoplasm
MONDO_0000922,pelvic inflammatory disease
MONDO_0000926,eye accommodation disease
MONDO_0000927,asymptomatic neurosyphilis
MONDO_0000928,eyelid melanoma
MONDO_0000930,nodular malignant melanoma
MONDO_0000931,endometrial disorder
MONDO_0000933,subglottis neoplasm
MONDO_0000936,syphilitic meningitis
MONDO_0000937,syphilitic encephalitis
MONDO_0000939,intracranial abscess
MONDO_0000940,trypanosomiasis
MONDO_0000942,corneal disorder
MONDO_0000943,acute hydrops keratoconus
MONDO_0000948,xerophthalmia
MONDO_0000951,thymus lymphoma
MONDO_0000952,cancer of long bone of lower limb
MONDO_0000953,cancer of short bone of lower limb
MONDO_0000954,Meckel diverticulum cancer
MONDO_0000955,ileum cancer
MONDO_0000956,small intestine cancer
MONDO_0000958,neuroretinitis
MONDO_0000979,pinta disease
MONDO_0000981,Histoplasma pericarditis
MONDO_0000984,thalassemia
MONDO_0000986,pleurisy
MONDO_0000992,heart conduction disease
MONDO_0000994,malignant prostate phyllodes tumor
MONDO_0000995,familial periodic paralysis
MONDO_0000996,prostate lymphoma
MONDO_0001000,mixed mineral dust pneumoconiosis
MONDO_0001001,baritosis
MONDO_0001003,pneumoconiosis due to talc
MONDO_0001004,slate pneumoconiosis
MONDO_0001005,kaolin pneumoconiosis
MONDO_0001011,breast cyst
MONDO_0001014,chronic leukemia
MONDO_0001023,prolymphocytic leukemia
MONDO_0001024,pneumonic plague
MONDO_0001029,Klippel-Feil syndrome
MONDO_0001030,"keratoconus, stable condition"
MONDO_0001032,Mooren ulcer
MONDO_0001035,hypopyon ulcer
MONDO_0001036,hypopyon
MONDO_0001045,intestinal atresia
MONDO_0001046,imperforate anus
MONDO_0001056,gastric cancer
MONDO_0001057,malignant gastric granular cell tumor
MONDO_0001059,gastric lymphoma
MONDO_0001060,microinvasive gastric cancer
MONDO_0001061,pylorus cancer
MONDO_0001062,pyloric antrum cancer
MONDO_0001063,cardia cancer
MONDO_0001066,late yaws
MONDO_0001067,early yaws
MONDO_0001068,osteomalacia
MONDO_0001071,intellectual disability
MONDO_0001072,mild pre-eclampsia
MONDO_0001073,idiopathic progressive polyneuropathy
MONDO_0001076,glucose intolerance
MONDO_0001082,lymph node cancer
MONDO_0001083,Fanconi renotubular syndrome
MONDO_0001084,primary optic atrophy
MONDO_0001085,interstitial nephritis
MONDO_0001092,colon leiomyoma
MONDO_0001093,colonic lymphangioma
MONDO_0001095,mediastinum neuroblastoma
MONDO_0001096,mediastinum ganglioneuroblastoma
MONDO_0001099,lactocele
MONDO_0001104,toxic diffuse goiter
MONDO_0001106,kidney failure
MONDO_0001109,petrositis
MONDO_0001112,bubonic plague
MONDO_0001113,Fiedler's myocarditis
MONDO_0001114,bacterial myocarditis
MONDO_0001115,familial polycythemia
MONDO_0001116,mesenteric lymphadenitis
MONDO_0001117,methemoglobinemia
MONDO_0001118,Queensland tick typhus
MONDO_0001127,tibialis tendinitis
MONDO_0001128,nasal cavity cancer
MONDO_0001129,nasal cavity olfactory neuroblastoma
MONDO_0001130,nasal cavity lymphoma
MONDO_0001142,salivary gland disorder
MONDO_0001144,partial third-nerve palsy
MONDO_0001145,total third-nerve palsy
MONDO_0001146,fourth cranial nerve palsy
MONDO_0001147,meningocele
MONDO_0001148,iliac vein thrombophlebitis
MONDO_0001149,microcephaly
MONDO_0001150,hydrocephalus
MONDO_0001152,amnestic disorder
MONDO_0001154,Siberian tick typhus
MONDO_0001162,impulse control disorder
MONDO_0001165,tongue disorder
MONDO_0001166,nephritis
MONDO_0001170,hemiplegia
MONDO_0001176,lens disorder
MONDO_0001184,chronic rapidly progressive glomerulonephritis
MONDO_0001187,urinary bladder cancer
MONDO_0001188,esophagus lymphoma
MONDO_0001190,Brucella suis brucellosis
MONDO_0001192,esophageal melanoma
MONDO_0001195,spotted fever
MONDO_0001197,qualitative platelet defect
MONDO_0001198,acquired thrombocytopenia
MONDO_0001204,esophagus sarcoma
MONDO_0001208,acute respiratory failure
MONDO_0001211,total internal ophthalmoplegia
MONDO_0001214,acute conjunctivitis
MONDO_0001217,pseudomembranous conjunctivitis
MONDO_0001220,hypoparathyroidism
MONDO_0001222,congenital T-cell immunodeficiency
MONDO_0001223,parathyroid gland disorder
MONDO_0001235,appendix cancer
MONDO_0001236,appendiceal neoplasm
MONDO_0001237,appendix lymphoma
MONDO_0001238,polycythemia neonatorum
MONDO_0001239,anemia of prematurity
MONDO_0001240,neonatal anemia
MONDO_0001241,transient neonatal neutropenia
MONDO_0001242,disseminated intravascular coagulation in newborn
MONDO_0001243,disseminated intravascular coagulation
MONDO_0001245,microcytic anemia
MONDO_0001246,typhus
MONDO_0001255,ventilation pneumonitis
MONDO_0001256,arteriovenous hemangioma/malformation
MONDO_0001259,pituitary gland infarction
MONDO_0001260,cercarial dermatitis
MONDO_0001261,Mobitz type II atrioventricular block
MONDO_0001262,African histoplasmosis
MONDO_0001263,histoplasmosis retinitis
MONDO_0001269,scleral disorder
MONDO_0001275,spinal meningioma
MONDO_0001277,cerebral arteritis
MONDO_0001279,intraspinal meningioma
MONDO_0001280,choroiditis
MONDO_0001290,allergic cutaneous vasculitis
MONDO_0001292,autonomic nervous system disorder
MONDO_0001293,subglottis cancer
MONDO_0001294,Horner syndrome
MONDO_0001300,autonomic neuropathy
MONDO_0001307,corneal abscess
MONDO_0001309,oculomotor nerve paralysis
MONDO_0001314,chondrocalcinosis
MONDO_0001316,streptococcal meningitis
MONDO_0001318,functional gastric disease
MONDO_0001322,pericardium cancer
MONDO_0001325,penile cancer
MONDO_0001328,thyroid hormone resistance syndrome
MONDO_0001334,hypertrichosis of eyelid
MONDO_0001336,familial hyperlipidemia
MONDO_0001340,heart cancer
MONDO_0001341,selective IgA deficiency disease
MONDO_0001342,dysgammaglobulinemia
MONDO_0001343,impaired renal function disease
MONDO_0001347,facioscapulohumeral muscular dystrophy
MONDO_0001357,hypochromic anemia
MONDO_0001358,bronchial disorder
MONDO_0001366,splenic sequestration
MONDO_0001367,chronic congestive splenomegaly
MONDO_0001374,bladder sarcoma
MONDO_0001377,vitreous syneresis
MONDO_0001378,urachus cancer
MONDO_0001381,bladder lymphoma
MONDO_0001383,degenerative myopia
MONDO_0001384,myopia
MONDO_0001385,cortical blindness
MONDO_0001386,visual epilepsy
MONDO_0001387,penile sarcoma
MONDO_0001388,glans penis cancer
MONDO_0001391,indeterminate leprosy
MONDO_0001393,peripheral focal chorioretinitis
MONDO_0001394,chronic erythremia
MONDO_0001397,mononeuropathy
MONDO_0001398,ureter benign neoplasm
MONDO_0001400,schwannoma of ureter
MONDO_0001402,vaginal cancer
MONDO_0001403,labium majus cancer
MONDO_0001406,peripheral nervous system neoplasm
MONDO_0001407,tracheal cancer
MONDO_0001408,ischemic neuropathy
MONDO_0001409,esophagitis
MONDO_0001411,synostosis
MONDO_0001413,ulceroglandular tularemia
MONDO_0001414,osteopoikilosis
MONDO_0001416,female reproductive organ cancer
MONDO_0001417,tracheal lymphoma
MONDO_0001418,trachea sarcoma
MONDO_0001420,trigeminal nerve neoplasm
MONDO_0001421,frontal lobe neoplasm
MONDO_0001422,primary aldosteronism
MONDO_0001426,mediastinum neurofibroma
MONDO_0001431,toxic or nutritional optic neuropathy
MONDO_0001433,vaginal disorder
MONDO_0001435,bullous retinoschisis
MONDO_0001436,hemosiderosis
MONDO_0001437,pulmonary alveolar proteinosis
MONDO_0001438,postinflammatory pulmonary fibrosis
MONDO_0001444,Chagas disease
MONDO_0001449,lymphocytic choriomeningitis
MONDO_0001458,ulnar nerve lesion
MONDO_0001459,radial neuropathy
MONDO_0001470,anal margin squamous cell carcinoma
MONDO_0001471,histoplasmosis meningitis
MONDO_0001472,testicular lymphoma
MONDO_0001475,neutropenia
MONDO_0001476,coloboma
MONDO_0001479,cutaneous diphtheria
MONDO_0001481,femoral vein thrombophlebitis
MONDO_0001482,testicular leukemia
MONDO_0001487,intrahepatic bile duct cancer
MONDO_0001490,corneal granular dystrophy
MONDO_0001493,chronic pulmonary heart disease
MONDO_0001499,retroperitoneal lymphoma
MONDO_0001501,retroperitoneal sarcoma
MONDO_0001502,retroperitoneum carcinoma
MONDO_0001515,corneal degeneration
MONDO_0001516,spinal muscular atrophy
MONDO_0001517,dysentery
MONDO_0001519,entropion
MONDO_0001526,labia minora cancer
MONDO_0001528,vulva cancer
MONDO_0001530,secondary hyperparathyroidism of renal origin
MONDO_0001531,blood coagulation disease
MONDO_0001535,vagus nerve disorder
MONDO_0001537,tuberculous epididymitis
MONDO_0001540,bagassosis
MONDO_0001541,plantar nerve lesion
MONDO_0001542,common peroneal nerve lesion
MONDO_0001543,lesion of sciatic nerve
MONDO_0001544,tibial nerve palsy
MONDO_0001548,hepatic coma
MONDO_0001549,hemolytic-uremic syndrome
MONDO_0001554,phacogenic glaucoma
MONDO_0001556,urethral obstruction
MONDO_0001560,hypertrophic pyloric stenosis
MONDO_0001561,pyloric stenosis
MONDO_0001563,vestibulocochlear nerve disorder
MONDO_0001566,hypercalcemia disease
MONDO_0001567,nephrocalcinosis
MONDO_0001569,acoustic neuroma
MONDO_0001572,leiomyoma
MONDO_0001574,capillary disorder
MONDO_0001576,telangiectasis
MONDO_0001584,ocular motility disease
MONDO_0001586,mucopolysaccharidosis type 1
MONDO_0001593,rectal disorder
MONDO_0001595,choreatic disease
MONDO_0001597,submandibular gland disorder
MONDO_0001601,Plasmodium ovale malaria
MONDO_0001602,labia minora carcinoma
MONDO_0001606,central nervous system leukemia
MONDO_0001607,intrapelvic lymph node leukemic reticuloendotheliosis
MONDO_0001608,vagus nerve neoplasm
MONDO_0001609,agranulocytosis
MONDO_0001614,intra-abdominal lymph node mast cell malignancy
MONDO_0001615,epidemic keratoconjunctivitis
MONDO_0001617,transient global amnesia
MONDO_0001620,louse-borne relapsing fever
MONDO_0001621,tick-borne relapsing fever
MONDO_0001627,dementia
MONDO_0001633,central retinal artery occlusion
MONDO_0001638,protein-deficiency anemia
MONDO_0001639,deficiency anemia
MONDO_0001641,severe pre-eclampsia
MONDO_0001644,acute proliferative glomerulonephritis
MONDO_0001645,crescentic glomerulonephritis
MONDO_0001657,brain cancer
MONDO_0001664,submucous uterine fibroid
MONDO_0001665,oculoglandular tularemia
MONDO_0001666,retinal dystrophies primarily involving Bruch's membrane
MONDO_0001667,streptobacillus infectious disease
MONDO_0001672,bronchus cancer
MONDO_0001673,diarrheal disease
MONDO_0001676,erythropoietic protoporphyria
MONDO_0001678,intestinal tuberculosis
MONDO_0001684,exocrine pancreatic insufficiency
MONDO_0001688,toxic optic neuropathy
MONDO_0001691,laryngeal cartilage cancer
MONDO_0001697,reading disorder
MONDO_0001700,megaloblastic anemia
MONDO_0001701,gastrointestinal anthrax
MONDO_0001702,labia majora carcinoma
MONDO_0001703,color vision disorder
MONDO_0001704,vaginal glandular neoplasm
MONDO_0001705,pure red-cell aplasia
MONDO_0001706,cerebral sarcoidosis
MONDO_0001707,cardiac sarcoidosis
MONDO_0001708,pulmonary sarcoidosis
MONDO_0001709,hypercalcemic sarcoidosis
MONDO_0001711,hepatic encephalopathy
MONDO_0001712,alexia
MONDO_0001713,inherited aplastic anemia
MONDO_0001714,bejel
MONDO_0001718,scleritis
MONDO_0001720,gonococcal synovitis
MONDO_0001724,supraglottis cancer
