drug_name,inchikey,smiles,disease_name,umls_cui,snomed_conceptid,approval_year,approval_source
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Vitamin Deficiency Prevention,,,1941,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Familial x-linked hypophosphatemic vitamin D refractory rickets,C3536984,82236004.0,1941,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Osteomalacia,C0029442,4598005.0,1941,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Prevention of dental caries,C1960644,426482000.0,1941,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Hypoparathyroidism,C0020626,36976004.0,1941,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Glucocorticoid Induced Osteoporosis,,,1941,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Hypocalcemia,C0020598,5291005.0,1941,FDA
ergocalciferol,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,Postmenopausal osteoporosis,C0029458,102447009.0,1941,FDA
sulfadiazine,SEEPANYCNGTZFQ-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,Chorioretinitis,C0008513,46627006.0,1941,FDA
sulfadiazine,SEEPANYCNGTZFQ-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,Encephalitis due to Toxoplasmosis,,,1941,FDA
sulfadiazine,SEEPANYCNGTZFQ-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,Rheumatic Fever Prevention,,,1941,FDA
sulfadiazine,SEEPANYCNGTZFQ-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,Ulcerative colitis,C0009324,64766004.0,1941,FDA
sulfadiazine,SEEPANYCNGTZFQ-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,Burn Wound Infections,,,1941,FDA
sulfadiazine,SEEPANYCNGTZFQ-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,Skin ulcer,C0037299,46742003.0,1941,FDA
sulfadiazine,SEEPANYCNGTZFQ-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,Toxoplasmosis associated with acquired immunodeficiency syndrome,C1720498,421666009.0,1941,FDA
sulfadiazine,SEEPANYCNGTZFQ-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,Congenital toxoplasmosis,C0040560,73893000.0,1941,FDA
sulfadiazine,SEEPANYCNGTZFQ-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,Minor Bacterial Skin Infections,,,1941,FDA
sulfadiazine,SEEPANYCNGTZFQ-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,Toxoplasmosis,C0040558,187192000.0,1941,FDA
conjugated estrogens,,,Dyspareunia,C1384606,71315007.0,1942,FDA
conjugated estrogens,,,Menopausal flushing,C0600142,198436008.0,1942,FDA
pethidine,XADCESSVHJOZHK-UHFFFAOYSA-N,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,Pain,C0030193,22253000.0,1942,FDA
pethidine,XADCESSVHJOZHK-UHFFFAOYSA-N,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,Labor pain,C0474368,247412007.0,1942,FDA
pethidine,XADCESSVHJOZHK-UHFFFAOYSA-N,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,Local anesthesia,C0002921,386761002.0,1942,FDA
pethidine,XADCESSVHJOZHK-UHFFFAOYSA-N,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,Sedation as Adjunct to Anesthesia,,,1942,FDA
pethidine,XADCESSVHJOZHK-UHFFFAOYSA-N,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,Severe pain,C0278140,76948002.0,1942,FDA
pethidine,XADCESSVHJOZHK-UHFFFAOYSA-N,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,General anesthesia,C0002915,50697003.0,1942,FDA
methylhomatropine,WKWOJBUWWZTUQV-SPUOUPEWSA-N,C[N+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(O)C1=CC=CC=C1,Irritable bowel syndrome,C0022104,10743008.0,1943,FDA
methylhomatropine,WKWOJBUWWZTUQV-SPUOUPEWSA-N,C[N+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(O)C1=CC=CC=C1,Cough,C0010200,49727002.0,1943,FDA
hydrocodone,LLPOLZWFYMWNKH-CMKMFDCUSA-N,COC1=CC=C2C[C@@H]3[C@@H]4CCC(=O)[C@@H]5OC1=C2[C@]45CCN3C,Nasal discharge,C1260880,64531003.0,1943,FDA
hydrocodone,LLPOLZWFYMWNKH-CMKMFDCUSA-N,COC1=CC=C2C[C@@H]3[C@@H]4CCC(=O)[C@@H]5OC1=C2[C@]45CCN3C,Allergic rhinitis,C2607914,61582004.0,1943,FDA
hydrocodone,LLPOLZWFYMWNKH-CMKMFDCUSA-N,COC1=CC=C2C[C@@H]3[C@@H]4CCC(=O)[C@@H]5OC1=C2[C@]45CCN3C,Nasal congestion,C0027424,68235000.0,1943,FDA
hydrocodone,LLPOLZWFYMWNKH-CMKMFDCUSA-N,COC1=CC=C2C[C@@H]3[C@@H]4CCC(=O)[C@@H]5OC1=C2[C@]45CCN3C,Rhinitis,C0035455,70076002.0,1943,FDA
hydrocodone,LLPOLZWFYMWNKH-CMKMFDCUSA-N,COC1=CC=C2C[C@@H]3[C@@H]4CCC(=O)[C@@H]5OC1=C2[C@]45CCN3C,Common cold,C0009443,82272006.0,1943,FDA
methylhomatropine,WKWOJBUWWZTUQV-SPUOUPEWSA-N,C[N+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(O)C1=CC=CC=C1,Peptic ulcer,C0030920,13200003.0,1943,FDA
hydrocodone,LLPOLZWFYMWNKH-CMKMFDCUSA-N,COC1=CC=C2C[C@@H]3[C@@H]4CCC(=O)[C@@H]5OC1=C2[C@]45CCN3C,Pain,C0030193,22253000.0,1943,FDA
hydrocodone,LLPOLZWFYMWNKH-CMKMFDCUSA-N,COC1=CC=C2C[C@@H]3[C@@H]4CCC(=O)[C@@H]5OC1=C2[C@]45CCN3C,Cough,C0010200,49727002.0,1943,FDA
ethinylestradiol,BFPYWIDHMRZLRN-SLHNCBLASA-N,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@]2(O)C#C,Atrophic vaginitis,C0221392,52441000.0,1943,FDA
ethinylestradiol,BFPYWIDHMRZLRN-SLHNCBLASA-N,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@]2(O)C#C,Acne vulgaris,C0001144,88616000.0,1943,FDA
ethinylestradiol,BFPYWIDHMRZLRN-SLHNCBLASA-N,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@]2(O)C#C,Controlled ovarian stimulation,C3160898,732970000.0,1943,FDA
ethinylestradiol,BFPYWIDHMRZLRN-SLHNCBLASA-N,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@]2(O)C#C,Contraception,C0700589,13197004.0,1943,FDA
ethinylestradiol,BFPYWIDHMRZLRN-SLHNCBLASA-N,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@]2(O)C#C,Postmenopausal osteoporosis,C0029458,102447009.0,1943,FDA
ethinylestradiol,BFPYWIDHMRZLRN-SLHNCBLASA-N,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@]2(O)C#C,Menopausal flushing,C0600142,198436008.0,1943,FDA
ethinylestradiol,BFPYWIDHMRZLRN-SLHNCBLASA-N,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@]2(O)C#C,Premenstrual dysphoric disorder,C0520676,596004.0,1943,FDA
ethinylestradiol,BFPYWIDHMRZLRN-SLHNCBLASA-N,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@]2(O)C#C,Dysmenorrhea,C0013390,266599000.0,1943,FDA
ethinylestradiol,BFPYWIDHMRZLRN-SLHNCBLASA-N,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@]2(O)C#C,Atrophic vulva,C0156393,248861000.0,1943,FDA
methamphetamine,MYWUZJCMWCOHBA-VIFPVBQESA-N,CN[C@@H](C)CC1=CC=CC=C1,Attention deficit hyperactivity disorder,C1263846,406506008.0,1943,FDA
methamphetamine,MYWUZJCMWCOHBA-VIFPVBQESA-N,CN[C@@H](C)CC1=CC=CC=C1,Obesity,C0028754,414916001.0,1943,FDA
dicoumarol,DOBMPNYZJYQDGZ-UHFFFAOYSA-N,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=CC=CC=C12,Myocardial infarction,C0027051,22298006.0,1944,FDA
dicoumarol,DOBMPNYZJYQDGZ-UHFFFAOYSA-N,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=CC=CC=C12,Prevention of Cerebral Thrombosis,,,1944,FDA
dicoumarol,DOBMPNYZJYQDGZ-UHFFFAOYSA-N,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=CC=CC=C12,Thrombosis,C0040053,439127006.0,1944,FDA
dicoumarol,DOBMPNYZJYQDGZ-UHFFFAOYSA-N,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=CC=CC=C12,Cerebral embolism,C0007780,75543006.0,1944,FDA
dicoumarol,DOBMPNYZJYQDGZ-UHFFFAOYSA-N,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=CC=CC=C12,Thromboembolic disorder,C0040038,371039008.0,1944,FDA
tubocurarine,JFJZZMVDLULRGK-URLMMPGGSA-O,COC1=CC2=C3C=C1OC1=CC(C[C@@H]4C5=C(OC6=CC=C(C[C@@H]3N(C)CC2)C=C6)C(O)=C(OC)C=C5CC[N+]4(C)C)=CC=C1O,"Muscle relaxation, function",C0026836,11977004.0,1945,FDA
sulfabenzamide,PBCZLFBEBARBBI-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC(=O)C1=CC=CC=C1,Gardnerella Vaginalis Bacterial Vaginosis,,,1945,FDA
sulfabenzamide,PBCZLFBEBARBBI-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC(=O)C1=CC=CC=C1,Vulvovaginitis,C0042998,53277000.0,1945,FDA
sulfacetamide,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Blepharoconjunctivitis,C0005743,68659002.0,1945,FDA
sulfacetamide,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Vulvovaginitis,C0042998,53277000.0,1945,FDA
sulfacetamide,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Infective blepharitis,C0729587,312219000.0,1945,FDA
sulfacetamide,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Pityriasis simplex,C0423775,200767005.0,1945,FDA
sulfacetamide,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Acne vulgaris,C0001144,88616000.0,1945,FDA
sulfathiazole,JNMRHUJNCSQMMB-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,Gardnerella Vaginalis Bacterial Vaginosis,,,1945,FDA
sulfacetamide,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Trachoma,C0040592,2576002.0,1945,FDA
sulfacetamide,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Seborrheic dermatitis,C0036508,50563003.0,1945,FDA
sulfacetamide,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Chlamydial conjunctivitis,C0009770,231861005.0,1945,FDA
sulfacetamide,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Amebic infection,C0002438,111910009.0,1945,FDA
sulfacetamide,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Uveitis,C0042164,128473001.0,1945,FDA
sulfacetamide,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Iridocyclitis,C0022073,77971008.0,1945,FDA
sulfathiazole,JNMRHUJNCSQMMB-UHFFFAOYSA-N,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,Vulvovaginitis,C0042998,53277000.0,1945,FDA
sulfacetamide,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Gardnerella Vaginalis Bacterial Vaginosis,,,1945,FDA
sulfacetamide,SKIVFJLNDNKQPD-UHFFFAOYSA-N,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,Superficial Ocular Infection,,,1945,FDA
nitrofurazone,IAIWVQXQOWNYOU-FPYGCLRLSA-N,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,Enterobacter Cystitis,,,1945,FDA
nitrofurazone,IAIWVQXQOWNYOU-FPYGCLRLSA-N,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,Klebsiella cystitis,C0520775,60867007.0,1945,FDA
nitrofurazone,IAIWVQXQOWNYOU-FPYGCLRLSA-N,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,Staphylococcus Aureus Urinary Tract Infection,,,1945,FDA
nitrofurazone,IAIWVQXQOWNYOU-FPYGCLRLSA-N,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,Escherichia coli urinary tract infection,C0577708,301011002.0,1945,FDA
nitrofurazone,IAIWVQXQOWNYOU-FPYGCLRLSA-N,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,Staphylococcus Saprophyticus Urinary Tract Infection,,,1945,FDA
nitrofurazone,IAIWVQXQOWNYOU-FPYGCLRLSA-N,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,Enterococcus Urinary Tract Infection,,,1945,FDA
glucose,WQZGKKKJIJFFOK-VFUOTHLCSA-N,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Hypoglycemia,C0020615,302866003.0,1946,FDA
ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,Antiseptic preparation,C0443072,261276004.0,1946,FDA
trimethadione,IRYJRGCIQBGHIV-UHFFFAOYSA-N,CN1C(=O)OC(C)(C)C1=O,Absence seizure,C0014553,79631006.0,1946,FDA
trimethadione,IRYJRGCIQBGHIV-UHFFFAOYSA-N,CN1C(=O)OC(C)(C)C1=O,Epilepsy,C0014544,84757009.0,1946,FDA
streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O,Chancroid,C0007947,266143009.0,1946,FDA
streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O,Enterococcus Urinary Tract Infection,,,1946,FDA
streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O,Pulmonary tuberculosis,C0041327,154283005.0,1946,FDA
streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O,Brucellosis,C0006309,75702008.0,1946,FDA
streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O,Haemophilus Endocarditis,,,1946,FDA
streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O,Bacterial urinary infection,C0729524,312124009.0,1946,FDA
streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O,Synergy for Enterococcal Infections,,,1946,FDA
streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O,Granuloma inguinale,C0018190,28867007.0,1946,FDA
