drug_name,chembl_id
oxymetholone,CHEMBL1200585
dimenhydrinate,CHEMBL1200406
fluphenazine decanoate,CHEMBL1200854
clorazepate,
testosterone,CHEMBL386630
enflurane,CHEMBL1257
carbachol,CHEMBL14
clindamycin phosphate,CHEMBL3184512
bupivacaine,CHEMBL1098
pancuronium,CHEMBL185073
carindacillin,
calcium glucoheptonate,
diazoxide,CHEMBL181
kanamycin,CHEMBL1384
arginine,CHEMBL1485
norethindrone acetate,CHEMBL1201146
mazindol,CHEMBL781
trimethoprim,CHEMBL22
sulfamethoxazole,CHEMBL443
bleomycin,CHEMBL6067492
orciprenaline,
cholestyramine,CHEMBL1201625
mepyramine,
dexamethasone acetate,CHEMBL1530428
pentobarbital,CHEMBL448
cefazolin,CHEMBL1435
acetylcholine,CHEMBL667
sulfadiazine silver,
metolazone,CHEMBL878
methyltestosterone,CHEMBL1395
prednisolone sodium phosphate,CHEMBL1201014
miconazole,CHEMBL91
dantrolene,CHEMBL1201288
molindone,CHEMBL460
isosorbide,CHEMBL1200660
dopamine,CHEMBL59
cefapirin,
benzquinamide,CHEMBL1201250
terbutaline,CHEMBL1760
testosterone propionate,CHEMBL1170
nitroprusside,CHEMBL2097081
mebendazole,CHEMBL685
trimethobenzamide,CHEMBL1201256
pilocarpine,CHEMBL550
cyclopentolate,CHEMBL1201338
doxorubicin,CHEMBL53463
cefradine,
clonidine,CHEMBL134
cloxacillin,CHEMBL891
ibuprofen,CHEMBL521
halcinonide,CHEMBL1200845
amoxicillin,CHEMBL1082
cefalotin,
lindane,CHEMBL15891
carbinoxamine,CHEMBL864
pemoline,CHEMBL1177
betamethasone dipropionate,CHEMBL1200384
clotrimazole,CHEMBL104
loxapine,CHEMBL831
acetyldigitoxin,CHEMBL3545057
carbidopa,CHEMBL1200748
dacarbazine,CHEMBL476
clonazepam,CHEMBL452
tobramycin,CHEMBL1747
oxybutynin,CHEMBL1231
estradiol,CHEMBL135
magnesium chloride,CHEMBL3185229
sodium gluconate,CHEMBL2068884
sulfacytine,CHEMBL1201056
hydroxyprogesterone caproate,CHEMBL1200848
digoxin,CHEMBL1751
progesterone,CHEMBL103
naproxen,CHEMBL154
fenoprofen,CHEMBL1297
tolmetin,CHEMBL1020
lactulose,CHEMBL296306
aluminum acetate,CHEMBL1201015
butalbital,CHEMBL454
beclometasone dipropionate,
dinoprost,CHEMBL815
glycine,CHEMBL773
danazol,CHEMBL1479
prazosin,CHEMBL2
sincalide,CHEMBL1121
phendimetrazine,CHEMBL1615439
somatropin,CHEMBL1201621
lomustine,CHEMBL514
pramocaine,
chlorhexidine,CHEMBL790
chloroxine,CHEMBL1200596
glutethimide,CHEMBL1102
protirelin,CHEMBL1472
ticarcillin,CHEMBL1449
vidarabine,CHEMBL1090
loperamide,CHEMBL841
probucol,CHEMBL608
clemastine,CHEMBL1626
desoximetasone,CHEMBL1766
carmustine,CHEMBL513
azatadine,CHEMBL946
colestipol,CHEMBL1909303
estrone sulphate,
cimetidine,CHEMBL30
clocortolone pivalate,CHEMBL1200975
dinoprostone,CHEMBL548
cyclobenzaprine,CHEMBL669
ranitidine,CHEMBL1790041
etidronic acid,CHEMBL871
disopyramide,CHEMBL517
diflorasone diacetate,CHEMBL1200545
lorazepam,CHEMBL580
baclofen,CHEMBL701
technetium Tc 99m medronate,CHEMBL1200931
thallous chloride Tl-201,
tamoxifen,CHEMBL83
cefadroxil,CHEMBL1644
desmopressin,CHEMBL1429
valproic acid,CHEMBL109
dimethyl sulfoxide,CHEMBL504
calcitonin (salmon synthetic),
testosterone cypionate,CHEMBL1201101
bromocriptine,CHEMBL493
difenoxin,CHEMBL1201321
dobutamine,CHEMBL926
iodamide,CHEMBL1201239
metoprolol,CHEMBL13
hydroxocobalamin,CHEMBL2103737
calcitriol,CHEMBL846
timolol,CHEMBL499
butorphanol,CHEMBL33986
sulindac,CHEMBL15770
ammonium chloride,CHEMBL1200939
cefoxitin,CHEMBL996
natamycin,CHEMBL1200656
cisplatin,CHEMBL11359
carboprost,CHEMBL1237122
metoclopramide,CHEMBL86
estrone,CHEMBL1405
cefaclor,CHEMBL1201018
tienilic acid,
nalbuphine,CHEMBL895
trimipramine,CHEMBL644
dapsone,CHEMBL1043
estradiol cypionate,CHEMBL1200973
cyclacillin,CHEMBL1200356
metirosine,
amcinonide,CHEMBL1200732
minoxidil,CHEMBL802
potassium iodide,CHEMBL1141
tetryzoline,
nadolol,CHEMBL521606
isoflurane,CHEMBL1256
daunorubicin,CHEMBL178
scopolamine,CHEMBL569713
zinc acetate,CHEMBL3184986
trifluridine,CHEMBL1129
oxytocin,CHEMBL395429
dipivefrine,
cinoxacin,CHEMBL1208
meclofenamic acid,CHEMBL509
oxamniquine,CHEMBL847
calcifediol,CHEMBL3544909
amoxapine,CHEMBL1113
sodium citrate,CHEMBL1355
aminoglutethimide,CHEMBL488
maprotiline,CHEMBL21731
bacampicillin,CHEMBL1583
lithium citrate,CHEMBL2103738
amikacin,CHEMBL177
temazepam,CHEMBL967
cefotaxime,CHEMBL1730
alacepril,CHEMBL2103775
captopril,CHEMBL1560
salbutamol,
glyceryl trinitrate,
ketoconazole,CHEMBL157101
dexchlorpheniramine,CHEMBL1201353
verapamil,CHEMBL6966
atenolol,CHEMBL24
mitomycin,CHEMBL105
mezlocillin,CHEMBL1731
halazepam,CHEMBL970
flunisolide,CHEMBL1512
amiloride,CHEMBL945
magnesium sulfate,CHEMBL3989857
alprostadil,CHEMBL495
alprazolam,CHEMBL661
sulfadoxine,CHEMBL1539
sodium bicarbonate,CHEMBL1353
sucralfate,CHEMBL6067980
gemfibrozil,CHEMBL457
trazodone,CHEMBL621
piperacillin,CHEMBL702
buprenorphine,CHEMBL511142
nifedipine,CHEMBL193
acyclovir,CHEMBL184
piroxicam,CHEMBL527
diflunisal,CHEMBL898
benoxaprofen,CHEMBL340978
calcium acetate,CHEMBL1200800
glycerol,
streptozocin,CHEMBL1977579
isotretinoin,CHEMBL547
cromoglicic acid,
citric acid,CHEMBL1261
magnesium oxide,CHEMBL1200572
malathion,CHEMBL1200468
pindolol,CHEMBL500
azlocillin,CHEMBL1537
etomidate,CHEMBL681
guanabenz,CHEMBL420
gonadorelin,CHEMBL1007
insulin human,CHEMBL1201631
diltiazem,CHEMBL23
chymopapain,CHEMBL1201626
triazolam,CHEMBL646
alclometasone dipropionate,CHEMBL1200989
econazole,CHEMBL808
praziquantel,CHEMBL976
guanadrel,CHEMBL1037
ciclopirox,CHEMBL1413
tioconazole,CHEMBL1200438
bumetanide,CHEMBL1072
sodium phosphate,
triprolidine,CHEMBL855
acetohydroxamic acid,CHEMBL734
indapamide,CHEMBL406
chenodiol,CHEMBL240597
ceftizoxime,CHEMBL528
cefuroxime,CHEMBL1436
etoposide,CHEMBL44657
ciclosporin,
atracurium,CHEMBL1360
magnesium silicate,CHEMBL2109133
algeldrate,CHEMBL3833310
bentiromide,CHEMBL1200368
hydromorphone,CHEMBL398707
vecuronium,CHEMBL1201219
glibenclamide,
sufentanil,CHEMBL658
glipizide,CHEMBL1073
macrogol,
amrinone,
pimozide,CHEMBL1423
labetalol,CHEMBL429
clavulanic acid,CHEMBL777
pentoxifylline,CHEMBL628
pentamidine,CHEMBL55
benzoyl peroxide,CHEMBL1200370
tocainide,CHEMBL1762
naltrexone,CHEMBL19019
ceftriaxone,CHEMBL161
bitolterol,CHEMBL1201295
acebutolol,CHEMBL642
leuprorelin,
ammonium lactate,CHEMBL1200747
auranofin,CHEMBL1366
dronabinol,CHEMBL465
ceftazidime,CHEMBL44354
potassium citrate,CHEMBL3989822
betaxolol,CHEMBL423
sulconazole,CHEMBL1221
somatrem,CHEMBL1201620
flecainide,CHEMBL652
trientine,CHEMBL609
cilastatin,CHEMBL766
imipenem,CHEMBL43708
levobunolol,CHEMBL1201237
midazolam,CHEMBL655
enalapril,CHEMBL578
amiodarone,CHEMBL633
nabilone,CHEMBL2218896
cefotetan,CHEMBL474579
clobetasol propionate,CHEMBL1159650
quazepam,CHEMBL1200472
levocarnitine,CHEMBL1149
bupropion,CHEMBL894
mexiletine,CHEMBL558
ribavirin,CHEMBL1643
ketoprofen,CHEMBL571
haloperidol decanoate,CHEMBL1200986
fluorometholone acetate,CHEMBL1201064
bretylium,CHEMBL1199080
permethrin,CHEMBL1525
sodium sulfate,CHEMBL3989856
oxymetazoline,CHEMBL762
interferon alfa-2b,CHEMBL1201558
zinc chloride,CHEMBL1200679
ferrous fumarate,CHEMBL1200640
follitropin,CHEMBL4297955
buspirone,CHEMBL49
etretinate,CHEMBL464
famotidine,CHEMBL902
cysteine,CHEMBL863
guanfacine,CHEMBL862
norfloxacin,CHEMBL9
methacholine,CHEMBL978
clofazimine,CHEMBL1292
ipratropium,CHEMBL1621597
alfentanil,CHEMBL634
pirbuterol,CHEMBL1094966
tranexamic acid,CHEMBL877
aztreonam,CHEMBL158
flurbiprofen,CHEMBL563
esmolol,CHEMBL768
sulbactam,CHEMBL403
zidovudine,CHEMBL129
mometasone furoate,CHEMBL1161
zinc sulfate,CHEMBL1200929
terazosin,CHEMBL611
lovastatin,CHEMBL503
ciprofloxacin,CHEMBL8
sodium benzoate,CHEMBL1356
mitoxantrone,CHEMBL58
phenylacetic acid,CHEMBL1044
mesalazine,
cefuroxime axetil,CHEMBL1095930
lisinopril,CHEMBL419213
fluoxetine,CHEMBL41
penbutolol,CHEMBL1290
ursodiol,CHEMBL1551
apraclonidine,CHEMBL647
terconazole,CHEMBL1714574
mupirocin,CHEMBL719
milrinone,CHEMBL189
enalaprilat,CHEMBL3989406
naftifine,CHEMBL626
nizatidine,CHEMBL3183075
diclofenac,CHEMBL139
tiopronin,CHEMBL1314
octreotide,CHEMBL1680
nicardipine,CHEMBL1484
misoprostol,CHEMBL606
carteolol,CHEMBL839
nimodipine,CHEMBL1428
oxiconazole,CHEMBL1262
mesna,CHEMBL975
pergolide,CHEMBL531
ifosfamide,CHEMBL1024
astemizole,CHEMBL296419
flutamide,CHEMBL806
carboplatin,CHEMBL1351
cefixime,CHEMBL1541
mefloquine,CHEMBL416956
epoetin alfa,CHEMBL1201565
selegiline,CHEMBL972
ganciclovir,CHEMBL182
omeprazole,CHEMBL1503
clozapine,CHEMBL42
propofol,CHEMBL526
adenosine,CHEMBL477
propafenone,CHEMBL631
ketorolac,CHEMBL469
cefmetazole,CHEMBL1201195
norgestimate,CHEMBL1200934
metipranolol,CHEMBL1291
goserelin,CHEMBL1201247
clomipramine,CHEMBL415
rubidium Rb-82 chloride,
fluconazole,CHEMBL106
nafarelin,CHEMBL1201309
pegademase,
antazoline,CHEMBL1305
betiatide,CHEMBL2109104
levamisole,CHEMBL1454
moracizine,
pipecuronium,CHEMBL1201206
olsalazine,CHEMBL425
tyloxapol,CHEMBL1201548
colfosceril palmitate,CHEMBL1200737
cetyl alcohol,CHEMBL706
idarubicin,CHEMBL1117
gluconolactone,CHEMBL1200829
magnesium carbonate,CHEMBL1200736
doxazosin,CHEMBL707
eflornithine,CHEMBL830
podophyllotoxin,
fluticasone propionate,CHEMBL1473
ulobetasol propionate,
isradipine,CHEMBL1648
technetium (99mTc) sestamibi,
estazolam,CHEMBL285674
altretamine,CHEMBL1455
ofloxacin,CHEMBL4
sermorelin,
bepridil,CHEMBL1008
dapiprazole,CHEMBL1201216
ondansetron,CHEMBL46
ritodrine,CHEMBL83063
ramipril,CHEMBL1168
succimer,CHEMBL1201073
etodolac,CHEMBL622
filgrastim,CHEMBL1201567
sargramostim,CHEMBL1201670
doxacurium,CHEMBL1237123
alglucerase,CHEMBL1201633
fludarabine phosphate,CHEMBL1096882
fosinopril,CHEMBL3039598
benazepril,CHEMBL838
beractant,CHEMBL1201624
felodipine,CHEMBL1480
prednicarbate,CHEMBL1200386
foscarnet,CHEMBL666
didanosine,CHEMBL1460
pentostatin,CHEMBL1580
pravastatin,CHEMBL1144
clarithromycin,CHEMBL1741
pamidronic acid,CHEMBL834
ticlopidine,CHEMBL833
azithromycin,CHEMBL529
nicotine,CHEMBL3
quinapril,CHEMBL1592
flumazenil,CHEMBL407
simvastatin,CHEMBL1064
cefprozil,CHEMBL3301800
histrelin,CHEMBL1201255
nabumetone,CHEMBL1070
sertraline,CHEMBL809
isosorbide mononitrate,CHEMBL1311
loracarbef,CHEMBL1200610
enoxacin,CHEMBL826
mivacurium,CHEMBL1182833
sodium thiosulfate,CHEMBL2096650
lomefloxacin,CHEMBL561
aldesleukin,CHEMBL1201438
zalcitabine,CHEMBL853
finasteride,CHEMBL710
teniposide,CHEMBL452231
halofantrine,CHEMBL1107
amlodipine,CHEMBL1491
bisoprolol,CHEMBL645
cefpodoxime proxetil,CHEMBL1201016
masoprocol,CHEMBL313972
itraconazole,CHEMBL64391
muromonab-CD3,CHEMBL1201608
desflurane,CHEMBL1200733
oxaprozin,CHEMBL1071
sotalol,CHEMBL471
atovaquone,CHEMBL1450
octinoxate,CHEMBL3183184
desogestrel,CHEMBL1533
zolpidem,CHEMBL911
rifabutin,CHEMBL444633
sumatriptan,CHEMBL128
paclitaxel,CHEMBL428647
paroxetine,CHEMBL490
terbinafine,CHEMBL822
nedocromil,CHEMBL746
gadodiamide,CHEMBL1200346
cladribine,CHEMBL1619
enoxaparin sodium,CHEMBL1201476
loratadine,CHEMBL998
levomethadyl acetate,CHEMBL1514
interferon beta-1b,CHEMBL1201563
cisapride,CHEMBL1729
felbamate,CHEMBL1094
torsemide,CHEMBL1148
tacrine,CHEMBL95
rimantadine,CHEMBL959
lodoxamide,CHEMBL1201266
tazobactam,CHEMBL404
levocabastine,CHEMBL1615438
abciximab,CHEMBL1201584
trimetrexate,CHEMBL119
venlafaxine,CHEMBL637
calcipotriene,CHEMBL1200666
thiamine,CHEMBL1588
granisetron,CHEMBL289469
pyridoxine,CHEMBL1364
risperidone,CHEMBL85
aprotinin,CHEMBL1201619
calcium pantothenate,CHEMBL1901349
gabapentin,CHEMBL940
perindopril,CHEMBL1581
dornase alfa,CHEMBL1201431
fluvastatin,CHEMBL2220442
fenofibrate,CHEMBL672
asparaginase,CHEMBL2108989
pegaspargase,CHEMBL2108546
salmeterol,CHEMBL1263
budesonide,CHEMBL1370
rocuronium,CHEMBL1201244
acrivastine,CHEMBL1224
iobenguane (131I),
tacrolimus,CHEMBL3989887
imiglucerase,CHEMBL1201632
pheniramine,CHEMBL1193
stavudine,CHEMBL991
famciclovir,CHEMBL880
mercaptamine,
fluvoxamine,CHEMBL814
dorzolamide,CHEMBL218490
nefazodone,CHEMBL623
bemiparin,CHEMBL3707365
vinorelbine,CHEMBL553025
lamotrigine,CHEMBL741
spirapril,CHEMBL431
rimexolone,CHEMBL1200617
nisoldipine,CHEMBL1726
metformin,CHEMBL1431
tramadol,CHEMBL1237044
losartan,CHEMBL191
nalmefene,CHEMBL982
moexipril,CHEMBL1165
mycophenolate mofetil,CHEMBL1456
lansoprazole,CHEMBL480
dexrazoxane,CHEMBL1738
sevoflurane,CHEMBL1200694
dirithromycin,CHEMBL1237072
valaciclovir,
acarbose,CHEMBL404271
azelaic acid,CHEMBL1238
carvedilol,CHEMBL723
epoprostenol,CHEMBL1139
alendronic acid,CHEMBL870
bicalutamide,CHEMBL409
lamivudine,CHEMBL141
docetaxel,CHEMBL3545252
glimepiride,CHEMBL1481
saquinavir,CHEMBL114
amifostine,CHEMBL1006
cetirizine,CHEMBL1000
riluzole,CHEMBL744
cisatracurium,CHEMBL1201248
ceftibuten,CHEMBL1605
butoconazole,CHEMBL1295
anastrozole,CHEMBL1399
porfimer,
ibutilide,CHEMBL533
cefepime,CHEMBL186
technetium Tc 99m tetrofosmin,CHEMBL1200857
eptacog alfa (activated),CHEMBL2108334
ritonavir,CHEMBL163
indinavir,CHEMBL5483011
trandolapril,CHEMBL1519
phenylbutanoic acid,CHEMBL1469
insulin lispro,CHEMBL1201538
gemcitabine,CHEMBL888
etoposide phosphate,CHEMBL1200645
interferon beta-1a,CHEMBL1201562
topotecan,CHEMBL84
adapalene,CHEMBL1265
latanoprost,CHEMBL1051
albendazole,CHEMBL1483
irinotecan,CHEMBL481
mirtazapine,CHEMBL654
alteplase,CHEMBL1201593
meropenem,CHEMBL127
nevirapine,CHEMBL57
ibandronic acid,CHEMBL997
cidofovir,CHEMBL5314375
remifentanil,CHEMBL1005
fexofenadine,CHEMBL914
fosphenytoin,CHEMBL1201336
bismuth subsalicylate,CHEMBL1120
technetium (99mTc) nofetumomab merpentan,
brimonidine,CHEMBL844
midodrine,CHEMBL1201212
UREA C-13,
